month,H1N,H3N,B
2002.75,22405,2594,12746
2002.83333333333,24726,23389,60812
2002.91666666667,352646,99763,1086939
2003,1579074,416561,2081463
2003.08333333333,3503630,1377527,3478253
2003.16666666667,1848466,795018,1027212
2003.25,183088,235159,114139
2003.33333333333,41381,40783,60570
2003.41666666667,17492,17804,38778
2003.5,0,33674,1617
2003.58333333333,4176,10471,0
2003.66666666667,0,47654,1797
2003.75,0,2253850,7725
2003.83333333333,5991,17401104,96935
2003.91666666667,0,22160791,144950
2004,0,2132617,24145
2004.08333333333,2326,288411,41344
2004.16666666667,0,47137,41631
2004.25,4957,19076,46441
2004.33333333333,5554,6633,33020
2004.41666666667,0,5466,15280
2004.5,0,0,12488
2004.58333333333,4724,16015,7443
2004.66666666667,0,48523,18984
2004.75,0,146262,55212
2004.83333333333,0,331664,131419
2004.91666666667,5545,2422499,351889
2005,23028,8715269,1691369
2005.08333333333,22378,10109053,3162867
2005.16666666667,12637,2569199,2090408
2005.25,2472,330782,562324
2005.33333333333,0,138817,177989
2005.41666666667,8704,36541,50445
2005.5,0,4157,20240
2005.58333333333,13414,28465,2442
2005.66666666667,0,28697,4340
2005.75,0,117512,21111
2005.83333333333,7561,318333,21714
2005.91666666667,11586,3321331,76701
2006,60485,4906608,199044
2006.08333333333,273121,5847563,1110954
2006.16666666667,789811,3370032,2013160
2006.25,397418,501658,1219245
2006.33333333333,224388,7586,462814
2006.41666666667,71719,2108,118485
2006.5,90744,28085,15535
2006.58333333333,96139,0,23394
2006.66666666667,244915,0,14482
2006.75,346996,36315,132859
2006.83333333333,504465,29104,165135
2006.91666666667,2394224,165630,609544
2007,3421892,919279,573242
2007.08333333333,5639558,2383426,2012438
2007.16666666667,1272397,2114745,1512699
2007.25,239779,1120741,486700
2007.33333333333,41039,274131,113988
2007.41666666667,9835,70789,27784
2007.5,78219,84960,19870
2007.58333333333,149508,22303,22674
2007.66666666667,274495,28714,31965
2007.75,238340,21843,22815
2007.83333333333,419250,89996,47748
2007.91666666667,1080953,474906,318185
2008,2765837,4979914,1537158
2008.08333333333,2897266,12477396,4918470
2008.16666666667,478470,4122588,3782993
2008.25,33891,315919,706195
2008.33333333333,2313,64829,93555
2008.41666666667,4290,22883,31891
2008.5,4357,18259,14832
2008.58333333333,19767,1407,10837
2008.66666666667,36415,22227,16220
2008.75,107109,18404,32329
2008.83333333333,266251,17507,69662
2008.91666666667,654447,118774,160200
2009,2488286,359195,564562
2009.08333333333,6297395,519802,3138648
2009.16666666667,3231025,517283,3653191
2009.25,973727,466189,713095
2009.33333333333,6464584,861142,201102
2009.41666666667,7523891,303329,14688
2009.5,4432671,50125,6898
2009.58333333333,6638593,44825,13580
2009.66666666667,14589114,20882,31665
2009.75,31983948,7725,68023
2009.83333333333,15599637,5539,61044
2009.91666666667,1823077,5669,31369
2010,1443424,6831,29172
2010.08333333333,1247741,752,19081
2010.16666666667,1071157,2546,27917
2010.25,214300,5277,23391
2010.33333333333,52376,8761,17323
2010.41666666667,9080,15133,10219
2010.5,11586,47344,16108
2010.58333333333,50171,96966,34327
2010.66666666667,25246,145677,34477
2010.75,95025,370267,249347
2010.83333333333,131426,888070,862595
2010.91666666667,663645,4100106,2288172
2011,5259961,8609889,3785272
2011.08333333333,5973997,6571741,4015070
2011.16666666667,1729156,2350570,1568363
2011.25,185109,469688,458287
2011.33333333333,37708,63959,69653
2011.41666666667,15486,3964,10989
2011.5,8051,23345,18883
2011.58333333333,13466,48281,15999
2011.66666666667,3904,81092,24951
2011.75,9133,117728,51336
2011.83333333333,13879,166317,64987
2011.91666666667,32165,557244,88814
2012,375390,1290630,123375
2012.08333333333,1401336,3034875,280101
2012.16666666667,1947132,4558835,639329
2012.25,729845,2556417,1149487
2012.33333333333,102001,833254,1069370
2012.41666666667,22525,367135,752207
2012.5,17089,461791,372249
2012.58333333333,25647,452041,156470
2012.66666666667,26616,301893,283336
2012.75,19294,613348,428360
2012.83333333333,46758,2930603,1129971
2012.91666666667,401195,19018474,4181773
2013,575671,12287850,3232251
2013.08333333333,397031,3577560,3550274
2013.16666666667,288598,1239964,3834944
2013.25,139426,279410,935787
2013.33333333333,73252,125309,415452
2013.41666666667,188888,94697,226334
2013.5,140396,105842,53889
2013.58333333333,228508,47925,36531
2013.66666666667,473945,90811,77381
2013.75,433523,142016,82887
2013.83333333333,1696097,128305,134671
2013.91666666667,13433786,318228,283863
2014,9856739,398192,375939
2014.08333333333,3750209,384973,639105
2014.16666666667,1205988,833531,1552591
2014.25,159730,922727,1490587
2014.33333333333,32666,655303,934649
2014.41666666667,14449,498793,546606
2014.5,8278,260292,188451
2014.58333333333,22259,258399,130676
2014.66666666667,8019,308177,143080
2014.75,14646,646989,226573
2014.83333333333,30859,5050796,359716
