c1,c2,sum.H1N,sum.H3N
0,0,1.7475979,2.0194829
0,0.05,1.71538325,1.9656287
0,0.1,1.72665645,2.00735945
0,0.15,1.7280066,2.00895665
0,0.2,1.7321678,2.05375755
0,0.25,1.74491365,2.050452
0,0.3,1.791735,2.08992625
0,0.35,1.76376965,2.07591365
0,0.4,1.7528577,2.0967434
0,0.45,1.78941765,2.19225705
0,0.5,1.8114615,2.1985126
0,0.55,1.8269393,2.1907846
0,0.6,1.83439005,2.25144155
0,0.65,1.8211185,2.25387835
0,0.7,1.8703837,2.29820645
0,0.75,1.8829764,2.33190695
0,0.8,1.87741095,2.403164
0,0.85,1.9262305,2.4567762
0,0.9,1.939337,2.4442899
0,0.95,1.94415745,2.4631042
0,1,1.9754847,2.54728685
0.05,0,2.07747345,2.19267325
0.05,0.05,2.06775825,2.1873018
0.05,0.1,2.08437795,2.1753187
0.05,0.15,2.11085055,2.19970115
0.05,0.2,2.0931606,2.22172395
0.05,0.25,2.1096596,2.29345285
0.05,0.3,2.13064155,2.29437625
0.05,0.35,2.14139655,2.2981601
0.05,0.4,2.1457944,2.30894385
0.05,0.45,2.15866565,2.378928
0.05,0.5,2.21612405,2.4205852
0.05,0.55,2.21118045,2.39155565
0.05,0.6,2.23606735,2.47268745
0.05,0.65,2.2780698,2.53117025
0.05,0.7,2.3028659,2.53471625
0.05,0.75,2.3091543,2.62855785
0.05,0.8,2.33367915,2.62962095
0.05,0.85,2.3824184,2.663346
0.05,0.9,2.4082057,2.6888529
0.05,0.95,2.4547206,2.74824245
0.05,1,2.4363159,2.7440521
0.1,0,2.4988455,2.3517088
0.1,0.05,2.46404175,2.3659405
0.1,0.1,2.5178857,2.4125135
0.1,0.15,2.5317025,2.4041472
0.1,0.2,2.5064845,2.41512685
0.1,0.25,2.5816834,2.50307995
0.1,0.3,2.59469635,2.52565665
0.1,0.35,2.58718995,2.52962795
0.1,0.4,2.63962115,2.56609145
0.1,0.45,2.70168435,2.6464377
0.1,0.5,2.6916079,2.6707535
0.1,0.55,2.76200275,2.69041055
0.1,0.6,2.8186604,2.74539035
0.1,0.65,2.77600235,2.73738325
0.1,0.7,2.8241825,2.81492215
0.1,0.75,2.82110455,2.79806335
0.1,0.8,2.9122514,2.87347935
0.1,0.85,2.99021045,2.9739789
0.1,0.9,2.9668998,2.97404115
0.1,0.95,3.0191377,3.0823003
0.1,1,3.05124685,3.1141963
0.15,0,3.00502855,2.57374705
0.15,0.05,2.98182165,2.5573425
0.15,0.1,3.04400725,2.6099124
0.15,0.15,3.07697385,2.67605695
0.15,0.2,3.08813645,2.6741897
0.15,0.25,3.14716825,2.71829205
0.15,0.3,3.13231015,2.7421646
0.15,0.35,3.24742135,2.79209985
0.15,0.4,3.2197734,2.8338762
0.15,0.45,3.3294059,2.87355365
0.15,0.5,3.30790625,2.91882885
0.15,0.55,3.38338805,2.97672535
0.15,0.6,3.4169847,3.0231529
0.15,0.65,3.4264884,3.00239685
0.15,0.7,3.5450687,3.0801033
0.15,0.75,3.5209458,3.14824605
0.15,0.8,3.6079737,3.21746155
0.15,0.85,3.6199998,3.25386395
0.15,0.9,3.7018201,3.3140601
0.15,0.95,3.74165475,3.4105121
0.15,1,3.8290516,3.4503482
0.2,0,3.61339545,2.7391443
0.2,0.05,3.65673995,2.7844412
0.2,0.1,3.7318262,2.85845775
0.2,0.15,3.7146071,2.866686
0.2,0.2,3.76708185,2.9197127
0.2,0.25,3.79061465,2.9612745
0.2,0.3,3.8555083,3.014689
0.2,0.35,3.87312355,3.04076085
0.2,0.4,3.93994625,3.1261252
0.2,0.45,3.9454134,3.17501075
0.2,0.5,4.1111924,3.24055885
0.2,0.55,4.1285176,3.3292183
0.2,0.6,4.1502244,3.30636265
0.2,0.65,4.2514888,3.3917724
0.2,0.7,4.2834617,3.40765365
0.2,0.75,4.4032194,3.4930908
0.2,0.8,4.39941085,3.61709585
0.2,0.85,4.49192035,3.70734565
0.2,0.9,4.50773335,3.7112728
0.2,0.95,4.64997835,3.8595777
0.2,1,4.6878847,3.86785425
0.25,0,4.3123419,3.0130199
0.25,0.05,4.3409421,3.0267714
0.25,0.1,4.44658075,3.09728575
0.25,0.15,4.46830695,3.168038
0.25,0.2,4.57376915,3.2580563
0.25,0.25,4.59090105,3.2585613
0.25,0.3,4.65978885,3.3122308
0.25,0.35,4.7278595,3.3759619
0.25,0.4,4.71284965,3.400803
0.25,0.45,4.86055625,3.5200496
0.25,0.5,4.8900318,3.5074715
0.25,0.55,4.9533975,3.6743
0.25,0.6,5.00916455,3.63834075
0.25,0.65,5.1008771,3.7632835
0.25,0.7,5.230578,3.87406775
0.25,0.75,5.31552765,3.92497105
0.25,0.8,5.30512885,3.9723167
0.25,0.85,5.37213115,4.13059275
0.25,0.9,5.4288138,4.1208943
0.25,0.95,5.5239649,4.1920994
0.25,1,5.6419795,4.3341912
0.3,0,5.0866614,3.26466095
0.3,0.05,5.18764285,3.34723835
0.3,0.1,5.23978285,3.35437115
0.3,0.15,5.28947955,3.4592655
0.3,0.2,5.38946745,3.50341025
0.3,0.25,5.3322392,3.5279494
0.3,0.3,5.515386,3.63036275
0.3,0.35,5.53248155,3.68282855
0.3,0.4,5.66056405,3.7631155
0.3,0.45,5.65314885,3.7589763
0.3,0.5,5.7946999,3.85314575
