D,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.005084746,0.248233966,6.497843728,5.898663478,0.740317922,0.714933096,0.26968555,1.660780688,0.060273025,0.133747904,70.21162006,204.0016317,24.22123668,0.948012217,0.24959465,19.35975759,0.021638202,0.182477015,5.508964815,6.619335112,0.179084173,1.08E-07,6.91E-08,0.162849041,0.388302725,0.087784696,0.11074697,3.57E-08,4.86E-08,0.071232134,0.004008433,0.755720398,0.696586125,-2550.602308,10.23993199
0.007627119,0.163301618,9.412541185,6.220366847,0.740471904,0.933628991,0.322564013,1.904559271,0.298464862,0.139654694,36.010498,53.88187154,12.6105203,2.757035288,0.054647963,4.478816675,0.15228391,0.093379747,33.55771846,2.433797552,0.18038783,9.68E-08,7.57E-08,0.108865653,0.37767539,0.119561603,0.133911159,4.16E-08,5.48E-08,0.079598096,0.098248734,0.784679629,0.566378376,-2532.006895,0.828664884
0.010169492,0.145861978,4.730703274,1.747032152,0.733261137,0.194148783,1.696161328,2.672188213,1.03137034,0.596896562,4.004234657,21.69139714,4.38402588,5.824753393,0.138959655,4.046115075,8.211334908,0.293710327,2.309565545,0.277287245,0.09384372,5.83E-08,6.63E-08,0.131096597,0.403444956,0.143120149,0.140669443,6.16E-08,7.24E-08,0.087824877,0.096318065,0.86302103,0.588094332,-2412.640742,0.307405887
0.015254237,0.094265713,5.016525837,4.477421651,1.999802404,3.428862487,3.667623886,4.502364782,0.483289199,0.832842976,8.087210088,125.2297039,5.776702389,20.25254957,0.149569369,0.381317227,4.713718038,0.050614612,32.16401706,1.102557786,0.147797307,9.71E-08,6.15E-08,0.117128142,0.347612949,0.146239798,0.179020974,3.80E-08,6.57E-08,0.062200567,0.395968711,0.47313977,0.293465531,-2372.111943,2.208379926
0.015254237,0.239491752,4.653281229,4.703847952,1.605296307,0.315217892,3.977020559,4.379550412,0.779519783,0.817766307,15.53725872,179.5324429,2.886082132,8.291056214,0.35338298,7.123983685,8.120124775,0.028516504,10.47068149,1.964851755,0.090618772,6.04E-08,7.85E-08,0.229242377,0.318470119,0.157588025,0.132495326,9.47E-08,1.17E-07,0.07158503,0.299388958,0.728836611,0.393425238,-2427.875381,0.922364554
0.01779661,0.083937538,4.229213845,2.784417036,1.564621494,1.923561782,2.101869094,3.348093672,0.377532799,0.639606524,1.932203647,420.2633494,9.944323067,59.60255561,0.040668875,1.105107167,2.656098503,0.029751542,8.966869648,0.520012493,0.13561943,9.84E-08,5.55E-08,0.103163673,0.435753126,0.106209619,0.139063675,3.35E-08,5.14E-08,0.080190239,0.2705248,0.858089237,0.601947935,-2438.033689,1.343988169
0.020338983,0.111680641,3.708120497,2.34636258,1.652764908,1.283758322,3.201847793,4.425183015,3.459489888,0.856200662,135.0554707,278.5233435,3.923498015,4.334732192,0.867798294,2.885194246,4.294196773,0.054943139,1.307137564,4.154663524,0.12785458,6.39E-08,1.04E-07,0.088528166,0.382290202,0.19314267,0.121514814,5.11E-08,7.61E-08,0.086669272,0.302098499,0.397170928,0.496497948,-2383.54868,6.174070933
0.020338983,0.161321381,5.408534333,3.827803515,3.021784703,3.770615318,4.035792468,4.97937924,0.704974631,0.896662003,26.83606894,1270.962692,3.360864447,14.06816613,0.102539099,1.516767804,5.086477225,0.045576706,15.45104099,0.872622867,0.176880903,9.68E-08,7.32E-08,0.156182253,0.281198229,0.167989233,0.134715491,5.57E-08,7.71E-08,0.083033589,0.61388311,0.608075475,0.3810113,-2390.568292,0.517544555
0.022881356,0.122443227,4.734358618,3.281845336,2.393910159,2.307721319,4.139439534,3.81685393,0.566321749,0.89384402,13.16021564,102.8220985,8.10967421,19.14880223,0.040327365,1.521823987,3.432057176,1.111882522,4.894774403,1.963423952,0.112639201,7.48E-08,4.22E-08,0.097796586,0.387511454,0.135615117,0.208479365,3.63E-08,8.45E-08,0.057958039,0.363214205,0.374501255,0.584034289,-2400.802035,42.36806233
0.022881356,0.113776657,4.235541436,2.59088948,1.607501542,2.247305129,3.396438985,3.57034289,2.329208729,0.855524261,36.17756732,164.3969169,2.03247097,4.068421863,0.374689017,1.528105731,4.103301133,1.222832271,0.627653554,7.546309855,0.188833417,5.55E-08,4.16E-08,0.069249675,0.386520968,0.140011542,0.155521549,6.02E-08,6.90E-08,0.059862623,0.303908528,0.510065301,0.413543334,-2349.049857,0.648828005
