L2,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
5.052631579,0.076704004,4.624498156,2.602356784,1.709085296,2.813419442,3.087298737,3.788555446,6.855980038,0.835284356,0.123858067,334.6779887,3.140428436,0.431814556,0.742971901,1.048361865,0.410179892,0.046689579,2.265926447,0.473775164,0.180170843,5.44E-08,8.27E-08,0.143868429,0.348661948,0.14868575,0.122416867,4.10E-08,7.98E-08,0.056195906,0.214049397,0.511269876,0.299419615,-2442.169147,0.741232788
5.052631579,0.10951348,3.683004785,3.132370582,2.459353816,2.356290186,3.319603379,4.838800683,0.675768454,0.922572424,0.088526424,4.368568517,7.211725741,8.932335243,1.324184394,3.692493985,0.383094992,0.361084553,1.861269181,8.325083898,0.072699155,6.90E-08,4.53E-08,0.228717804,0.292383214,0.161296069,0.156933235,8.75E-08,1.03E-07,0.087970219,0.230472552,0.414607647,0.619279185,-2387.448441,1.793219636
5.052631579,0.124144759,5.556110878,5.440713731,4.180193043,4.595812404,3.081578962,5.356122159,0.534956602,0.675604237,0.047673925,115.8108913,10.61631192,1.151491579,0.059226821,1.940189136,0.39624584,0.54692149,11.53469325,0.16898902,0.248841686,7.29E-08,5.82E-08,0.167908813,0.25480428,0.157228258,0.095205697,5.04E-08,5.28E-08,0.076011031,0.63901681,0.740020915,0.519702257,-2474.868058,0.711015424
5.052631579,0.117021289,5.562133932,3.416518327,2.891546162,3.650790432,4.562838832,4.148164051,0.266037549,0.915436303,0.095704734,16.21233415,43.72456489,2.328402681,0.096942236,1.562969858,0.568317853,0.137893844,3.417893561,13.76054707,0.162545455,5.97E-08,5.72E-08,0.243454564,0.253103402,0.147102457,0.142468643,1.05E-07,8.59E-08,0.05132517,0.326870144,0.481449573,0.680662443,-2415.673999,2.555819013
7.578947368,0.107739718,3.881685398,4.188733423,1.874255368,4.476085576,2.603525527,5.067697051,1.391325179,0.905780515,0.043430502,5.94367943,2.330145992,2.695829522,0.100948063,1.53457463,1.207914373,0.845188382,4.180564806,2.201948713,0.16530544,8.81E-08,4.12E-08,0.114335725,0.371510543,0.14971467,0.107202574,1.04E-07,9.88E-08,0.091930716,0.22521083,0.563214984,0.257789977,-2369.965577,2.141341473
7.578947368,0.145814238,3.720972954,2.201973541,2.10018042,1.485618308,2.488302572,4.44813833,0.372802253,0.748569847,0.024182723,154.8993983,31.17307443,1.600906054,0.252472956,3.106978604,3.029903874,0.010057657,0.569242317,3.218585204,0.136856496,8.31E-08,8.03E-08,0.129332118,0.41849363,0.14867483,0.108683012,7.26E-08,8.95E-08,0.057959588,0.292728475,0.524566634,0.41025915,-2791.284767,0.75876115
7.578947368,0.108230333,4.743352948,2.903135774,2.690117728,2.745702033,4.090000913,4.030035973,0.213185294,0.901857151,0.046725467,26.88838225,139.38173,4.22309769,1.060844479,3.361956447,1.215328316,0.017443628,9.261987583,0.674372803,0.082834601,7.62E-08,4.63E-08,0.251861934,0.339201789,0.133892604,0.144223982,6.34E-08,8.02E-08,0.047984824,0.378414621,0.498751394,0.291390368,-2489.097313,4.129081244
7.578947368,0.092637269,4.903536491,2.558433167,3.405880489,2.338969734,3.497891365,4.40498,3.386557395,0.828144039,0.033395711,8.757558299,2.851194072,1.602004694,0.336249951,0.675545343,1.072357257,0.264173501,0.592404009,39.32646436,0.188324177,6.34E-08,8.59E-08,0.205871101,0.312286488,0.148469396,0.077548597,3.47E-08,1.11E-07,0.067499947,0.225968238,0.704416287,0.378879471,-2383.693,0.263009979
7.578947368,0.14944598,4.653682504,2.242141526,2.038970381,3.140868276,2.792475873,4.06132971,0.677519821,0.84248824,0.029693537,36.53349903,10.46681497,5.799072063,0.527335337,1.572539006,2.114265522,0.119333178,20.81419317,0.738029217,0.121109257,1.03E-07,3.95E-08,0.169610876,0.393470461,0.110892263,0.11984952,5.17E-08,7.63E-08,0.085067353,0.333603195,0.564679041,0.383604391,-2362.105352,3.949022892
7.578947368,0.102827174,4.539065708,4.106862501,2.475859323,3.60922555,3.285611319,5.364178303,2.621935756,0.909843321,0.149910434,14.8104376,1.428323779,1.944332999,0.721604703,2.108329511,0.284566582,0.069099051,1.928049885,10.89554804,0.188435925,4.41E-08,8.79E-08,0.106296442,0.27190562,0.200501688,0.132472823,5.26E-08,7.05E-08,0.100387247,0.145576083,0.616944339,0.383753677,-2366.216146,2.565184884
