P1,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.880078617,0.09066689,4.709703405,2.201075111,2.151030698,2.23419438,3.258156035,3.508172894,3.325628678,0.837454758,0.095810012,33.44796877,266.3982852,1.748459953,3.566355809,0.831453718,2.265611685,0.589027896,0.114684547,1.355483199,0.108125311,7.43E-08,6.53E-08,0.090125734,0.4096401,0.178637559,0.142698301,1.10E-07,9.00E-08,0.070772655,0.38657162,0.548883452,0.366124706,-2349.12744,4.194146014
0.880078617,0.134404903,5.221969473,3.599007918,2.893286007,3.640201532,3.270518817,4.065955203,1.079108119,0.837322925,0.237083158,139.9224102,87.16727824,4.172673994,5.173420431,0.508621244,3.295967758,0.23085976,0.019829636,4.240230738,0.174555243,7.88E-08,7.44E-08,0.170477456,0.287642115,0.138630509,0.103777094,6.80E-08,5.38E-08,0.124917309,0.379572549,0.822307043,0.327858296,-2464.64548,0.666573564
0.880078617,0.093536024,4.231767714,4.2898603,2.137591064,3.886215559,3.335822461,5.272922255,26.25223951,0.889099976,0.070626094,13.23046229,98.43451082,1.227149378,2.528676579,0.173850479,1.522377453,0.489761506,0.111422023,2.145948216,0.199121184,7.89E-08,7.87E-08,0.106865214,0.418521692,0.106901985,0.109283384,5.95E-08,6.49E-08,0.059306259,0.394700723,0.494921057,0.371010595,-2366.491265,5.267740542
0.880078617,0.180324876,4.754447055,2.90324914,2.136694936,1.596021369,3.059717278,4.500675481,1.337874417,0.833076156,0.1031033,30.35253218,427.92127,2.353070725,5.97301368,1.375703464,2.852707866,0.821096517,0.093712519,285.16497,0.107074784,7.31E-08,5.24E-08,0.1583518,0.395659542,0.110118006,0.171506581,2.85E-08,7.25E-08,0.057289061,0.427214194,0.658611649,0.346780827,-2368.014493,0.6572573
0.880078617,0.081277236,3.991457978,3.568481334,2.076624732,3.281901091,3.191679723,4.891700242,1.634696483,0.862909729,0.063364992,34.88570337,50.10802664,5.564304521,4.642639033,0.725747212,2.116847606,0.65357506,0.103964257,0.605420525,0.209344444,9.12E-08,8.51E-08,0.080718398,0.336526336,0.184178844,0.133474564,6.04E-08,8.72E-08,0.05575709,0.275658538,0.377115451,0.321311009,-2359.829669,0.312156929
0.880078617,0.114262041,4.506819484,2.936038504,1.803287914,2.896802119,3.440713606,4.301659118,0.635811574,0.836228864,0.079861339,57.25491639,113.5654561,17.23099035,21.11456462,0.409268625,4.980992252,0.434454938,0.076869998,39.63606484,0.152787192,8.17E-08,6.28E-08,0.116812076,0.435381748,0.157729081,0.095743651,3.93E-08,1.01E-07,0.041545966,0.413066248,0.437514158,0.540855551,-2382.702373,0.976199231
0.880078617,0.107969982,3.931584886,4.031179081,0.847705477,2.87002982,2.524770915,4.66836004,0.560549583,0.853028969,0.123590763,14.46351935,13.14844569,9.660712147,11.03921481,0.179439155,0.56343178,0.673485109,0.041295475,0.29753214,0.175830197,9.09E-08,8.96E-08,0.106030162,0.369863932,0.135368079,0.159620954,6.52E-08,7.99E-08,0.053286352,0.239808263,0.319265193,0.417025392,-2371.133791,0.521659465
0.880078617,0.109273198,4.201087517,3.229801003,1.401689797,2.715952374,2.961604343,4.589674136,0.517981428,0.860239279,0.050003842,12.60318159,67.96956055,8.159711801,18.40749024,0.121100615,1.792536543,1.620112495,0.08374643,4.83853385,0.097625288,6.98E-08,6.36E-08,0.199872419,0.425817027,0.129667502,0.078425958,7.12E-08,8.65E-08,0.068591515,0.324779951,0.452602875,0.396395031,-2335.356504,1.868748601
0.880078617,0.104074064,4.230582122,2.894120786,1.282431123,2.978642594,3.058193548,4.302443057,1.433375463,0.866134529,0.112889812,5.825394264,50.46725706,1.530781789,3.734310991,1.401171343,2.875435242,0.549892011,0.033001696,0.144737005,0.164954697,7.49E-08,4.07E-08,0.089270905,0.357612188,0.137536991,0.144464319,5.28E-08,1.23E-07,0.106160608,0.355947793,0.587637019,0.378841993,-2337.793381,1.60848862
0.880078617,0.260775525,4.716648024,3.780215591,2.831961204,3.5474229,2.872072986,5.31421786,0.507908716,0.797157206,0.037569814,146.0488506,11.80524617,11.15486852,0.752094694,0.198508567,1.188819024,2.195965491,0.107015847,2.050388604,0.090242799,1.10E-07,7.46E-08,0.148720224,0.293395169,0.162903138,0.190336323,8.02E-08,1.26E-07,0.114401955,0.762894979,0.539194696,0.381161185,-2496.073972,13.78590573
0.880078617,0.099957315,4.701921229,4.706857221,2.061672174,4.112324616,3.712163643,5.295685322,5.256065573,0.82950673,0.099179513,22.22725906,115.0209537,2.873618616,2.94145669,0.960669546,0.897761728,0.285269529,0.008328162,0.384390744,0.137890994,9.27E-08,6.55E-08,0.072392145,0.422006708,0.175329642,0.136694026,3.72E-08,9.12E-08,0.055686199,0.554951836,0.486190998,0.36313068,-2372.838964,1.331404387
0.880078617,0.119553686,5.376451599,4.38823122,2.047911837,3.417158358,4.362836589,4.441275489,2.603830469,0.884778459,0.063494345,69.23867046,108.3515461,1.450737269,2.384035425,0.138611135,1.902091928,1.418584182,0.175597395,1.623414288,0.068298225,9.54E-08,8.02E-08,0.175771788,0.316395369,0.197983946,0.144951294,4.81E-08,9.06E-08,0.096599064,0.634295817,0.511065366,0.498376429,-2376.121633,1.166571174
0.880078617,0.076937946,4.355229888,4.147017862,2.76393303,3.556249676,3.911471105,5.041269075,0.595591298,0.904519701,0.324277979,13.40664806,17.14973325,4.257984564,5.485338334,1.041213643,1.401613439,0.138983107,0.011022769,2.417930221,0.115513461,1.18E-07,1.44E-07,0.094461147,0.395558595,0.192060676,0.132109355,6.77E-08,7.61E-08,0.070296361,0.484869851,0.370047848,0.361712504,-2381.720836,5.811100517
0.880078617,0.16208167,5.974865848,3.70301302,2.002946502,3.96850044,4.437761493,4.640081049,0.389147426,0.932674628,0.100363208,16.37372762,17.0120134,9.902619948,1.330284483,1.951689963,3.295583413,0.83950174,0.242247979,3.451463286,0.139437608,8.12E-08,5.04E-08,0.118580444,0.357158531,0.152367875,0.174485601,5.06E-08,9.67E-08,0.057969663,0.581507933,0.476245589,0.444992988,-2370.239306,0.412761393
0.880078617,0.153889183,6.452849136,1.365042118,3.300799979,1.530738914,4.88205645,2.774285485,2.011760505,0.873500995,0.231195494,28.86325597,56.86592917,1.780148929,2.839782797,0.061556367,2.055471634,0.321407802,0.007249414,2.899320633,0.263163243,7.55E-08,4.12E-08,0.134723682,0.234489791,0.166854443,0.12935593,1.00E-07,7.16E-08,0.071412624,0.402646332,0.65964544,0.310591051,-2374.897975,2.10652878
0.880078617,0.12291834,4.735709901,1.232158589,2.403473745,1.190841402,3.489554185,2.503484043,0.268856958,0.748770252,0.025444782,1154.022732,49.54339107,125.0860988,50.11738233,0.260884542,9.508853157,2.568937754,0.054388314,1.99342745,0.124157353,5.85E-08,6.91E-08,0.179172966,0.36208349,0.164064714,0.097526284,4.82E-08,8.81E-08,0.072994928,0.492230729,0.452790604,0.480606423,-2765.879683,10.89739561
0.880078617,0.135070841,5.129179808,3.394460378,2.978744544,2.121032622,4.191325981,3.347753964,1.702256273,0.771950524,0.134148568,102.5012937,367.7426459,2.818233171,4.345936395,0.544927174,3.703512418,0.408082258,0.144161661,0.854817144,0.109861188,1.14E-07,1.02E-07,0.134332752,0.330914462,0.175124558,0.172030414,9.69E-08,1.26E-07,0.077736187,0.334969619,0.593881213,0.414653706,-2428.84526,1.348686659
0.880078617,0.077567946,4.204580326,2.224432901,1.365013737,1.967056635,2.644766388,3.685035319,1.28616025,0.813820612,0.093057891,73.20604442,12.09518179,6.893037736,4.180790734,1.183926882,1.585669951,0.609457327,0.150153845,6.408611208,0.110418638,7.63E-08,9.22E-08,0.151367131,0.353286573,0.165599942,0.159563049,4.80E-08,8.07E-08,0.05976437,0.279333691,0.546662998,0.54890688,-2378.675072,0.7658442
0.880078617,0.07828772,4.99338783,4.246847071,2.660136187,4.208265843,3.81755243,4.882528714,6.126319929,0.877548892,0.108735602,9.348797185,235.3418024,0.538615169,2.310838579,0.129675426,0.162973288,0.404887044,0.110098174,4.672821143,0.110389636,1.38E-07,4.55E-08,0.163560676,0.407641695,0.122464265,0.148044582,6.90E-08,1.07E-07,0.047898785,0.434139718,0.475652938,0.298156682,-2355.339913,1.547314564
0.880078617,0.137819591,4.575465503,3.105033907,0.985631679,2.236477979,3.169119708,3.691145048,17.63770209,0.815031782,0.342957313,126.926112,126.6880875,1.799463757,2.392727008,0.745610391,1.75296196,0.242682262,0.000781108,3.929245146,0.179428239,1.15E-07,6.73E-08,0.127626923,0.310369838,0.162110322,0.120387687,1.06E-07,6.08E-08,0.100076643,0.392593645,0.449704746,0.46315626,-2385.341156,1.366749242
0.880078617,0.190803003,3.971976972,4.451704203,1.196437648,4.124583231,1.533010998,6.957033942,0.914240774,0.86945723,0.100125099,75.49037692,126.5202534,6.062303495,8.316683436,0.907075531,1.010397094,0.682539176,0.276438013,2.268405721,0.135535093,4.58E-08,6.79E-08,0.181946951,0.350666486,0.115022889,0.164557535,3.38E-08,6.49E-08,0.052270832,0.367550665,0.431145135,0.300770924,-2396.608363,1.913921172
0.880078617,0.120092902,4.134141073,3.425098218,2.008363458,3.237446512,3.241663018,4.403547563,1.180028246,0.84609136,0.117921763,37.99950642,65.32485308,3.831131572,5.597403063,0.341193611,1.362303751,0.439724452,0.059602102,2.538428352,0.188172674,4.65E-08,6.36E-08,0.08770559,0.366122159,0.182377151,0.118503635,8.97E-08,8.28E-08,0.057118509,0.363017561,0.373017436,0.45514914,-2328.84317,0.318760109
