alpha,sigma,b1,b2,b3,b4,b5,b6,theta,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.5,0.144794144,5.865606251,0.501413068,0.615178391,0.301895234,1.207110655,1.600601235,1.665768136,0.077329351,146.8425737,86.98633952,6.492624628,6.2700735,0.246222779,4.869869122,1.109789662,0.156614221,16.34686755,4.690593939,0.188579329,9.84E-08,5.94E-08,0.138383064,0.38175089,0.125641729,0.096767229,6.18E-08,8.43E-08,0.068877455,0.139957789,0.896319278,0.396348834,-2422.904175,0.979957243
0.5,0.112331886,4.216727758,2.640286287,0.852799053,0.190355068,1.289489873,1.934789598,0.85187612,0.222067837,23.45355626,97.08649766,5.306806208,9.858787945,0.383035922,2.674737631,0.342448599,0.036347385,0.270253131,0.384461804,0.189069989,5.68E-08,4.35E-08,0.149726716,0.306134789,0.161675814,0.094625792,8.21E-08,8.94E-08,0.098766628,0.174965081,0.978859036,0.488738528,-2433.976823,0.494980254
0.5,0.122580884,4.555215556,2.202081569,0.545932925,0.424512184,0.9946341,1.982304521,0.660883504,0.195727169,81.2582709,68.60523001,9.989254244,12.88753514,0.062657098,0.098704411,0.625257518,0.011477574,0.53245843,7.233710938,0.083282711,8.70E-08,4.16E-08,0.139663179,0.472781933,0.130729589,0.109443197,2.83E-08,7.64E-08,0.064099158,0.254549877,0.654390433,0.599199598,-2458.134657,0.278589771
0.5,0.135293113,4.473251533,3.176194563,0.852018537,1.794717357,1.041892133,2.868733104,1.473691574,0.051594612,61.88101292,86.43075867,6.00281575,6.563138862,0.171668757,3.173458106,0.649559368,0.168545603,5.696258774,1.914185601,0.141453928,5.78E-08,4.37E-08,0.191134528,0.305662972,0.160589402,0.112942628,5.46E-08,1.39E-07,0.088216246,0.087743581,0.94047583,0.693251262,-2430.87536,0.729585058
0.5,0.093846863,4.843931628,3.595898804,1.343649554,1.963574753,1.407131775,3.134519243,0.537166422,0.179489479,6.572898484,132.7433064,4.330114788,29.14092228,0.611421867,1.102724789,0.25497069,0.014708127,0.335889519,3.762720593,0.157825114,7.23E-08,7.79E-08,0.095878311,0.406947225,0.129807571,0.122180585,4.89E-08,6.44E-08,0.087360929,0.187866809,0.780329076,0.504625064,-2405.519476,0.87594492
0.5,0.100274417,4.766384188,4.010856407,1.267246938,1.48606679,2.136363101,2.545694375,1.424344089,0.084134344,9.331284286,211.242799,1.989046112,8.102861242,0.420056773,0.887953303,0.870811048,0.100195805,12.66324298,1.955376251,0.129149704,5.21E-08,4.35E-08,0.170925044,0.41086133,0.12465223,0.086857178,3.72E-08,6.96E-08,0.077554312,0.233808513,0.651543526,0.421151794,-2413.606724,0.638717108
0.5,0.124124983,4.794456339,2.609848388,0.550991893,0.624655666,1.324882702,2.355386343,0.817655805,0.210499382,4.197644273,89.69217797,3.542120022,12.03565717,0.250177672,0.613893255,0.371884129,0.025020138,2.585190747,1.229723892,0.164466397,7.26E-08,4.76E-08,0.08697267,0.450782675,0.158829363,0.106869434,5.24E-08,1.08E-07,0.032079179,0.152185176,0.834597242,0.46144819,-2407.124449,0.588135344
0.5,0.114966711,4.476154901,3.170050967,0.298298581,1.172705489,0.826335855,2.265947135,1.773364299,0.10261222,3.949648198,39.58023175,1.324486442,3.991965353,0.288868074,2.180302312,0.644916639,0.037818189,0.314756714,3.511677548,0.223285737,8.07E-08,8.34E-08,0.06756869,0.395895554,0.162266823,0.09778636,6.23E-08,1.00E-07,0.05319651,0.169311728,0.813638561,0.452204722,-2415.672098,0.27957984
0.5,0.121221663,4.248746186,1.425030494,0.959554066,0.857221563,0.350766744,2.523139397,0.696195832,0.098210779,30.12521581,743.4037088,7.607201615,22.4798981,0.39915327,1.100632021,0.64521637,0.024400233,2.360516284,7.302278791,0.130854859,1.49E-07,8.91E-08,0.092865019,0.352668898,0.187144481,0.143082995,5.37E-08,8.73E-08,0.093383369,0.321500461,0.710346311,0.510924228,-2441.242006,4.619210568
0.5,0.134477109,4.571822406,1.504460073,0.394136616,1.403232198,1.052710155,3.12479068,0.952376315,0.04222867,60.28243442,236.3624205,12.35424396,14.12426953,0.174856251,1.003090205,1.408669219,0.010729983,2.416169829,0.349601224,0.128247409,4.80E-08,9.49E-08,0.185797275,0.316248448,0.144233428,0.131894421,8.37E-08,6.58E-08,0.093578727,0.119254121,0.872641965,0.323194795,-2417.886241,1.701041111
