c2,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.098650455,4.713807275,3.349152217,2.151740927,3.29392332,3.623496699,4.42866484,0.732425773,0.865628132,0.077282872,79.56181554,45.50090345,8.125683597,9.231614744,0.118984054,0.815273728,0.067999011,1.189671026,0.830675281,0.101457581,7.45E-08,6.56E-08,0.154637394,0.384486968,0.130309691,0.142886283,5.62E-08,5.55E-08,0.086221832,0.356348787,0.438007225,0.581863162,-2353.156638,12.85327633
0,0.081359143,5.093679703,4.391579133,2.01551838,3.280073161,3.991161633,4.624819444,14.83498664,0.90388281,0.058077832,25.32694491,44.28085238,0.87271842,0.942427817,0.295172993,1.318496621,0.330458936,1.339393695,0.509990119,0.131303857,5.49E-08,7.12E-08,0.14009001,0.441889362,0.126452253,0.111128416,5.76E-08,6.01E-08,0.049135859,0.384840488,0.601306066,0.375067953,-2371.593466,2.391598912
0,0.109607522,4.023187132,3.999168439,1.395712302,2.65396848,3.444686067,4.26086611,2.036635332,0.839597821,0.133260827,63.13318458,67.03096617,2.952224771,3.682681609,0.342519744,0.484123099,0.070091463,3.234948534,0.105193125,0.210766998,8.14E-08,5.70E-08,0.128734159,0.323668781,0.161678695,0.106353165,7.69E-08,8.04E-08,0.068797906,0.321266868,0.418322933,0.362651284,-2347.175837,0.889261903
0,0.144005635,4.26896875,2.970136588,2.706083965,3.28744897,2.1746382,4.706053672,0.469289863,0.778530668,0.049644417,107.2056779,14.34559374,17.16839848,10.61968061,0.037857177,1.261618188,0.028582767,4.591329146,1.565216115,0.160851001,5.47E-08,5.73E-08,0.112604701,0.418797007,0.13485909,0.102187265,3.92E-08,6.56E-08,0.07070072,0.549934342,0.40895722,0.481684567,-2533.568385,0.988608789
0,0.171136207,4.403945901,2.844369776,1.140506511,2.746285293,2.512747641,4.615469037,0.549759214,0.788566095,0.127915978,101.0716024,66.19391939,15.39418743,18.85960716,0.612808836,0.55171714,0.07641278,2.395777039,3.160255991,0.178320962,8.43E-08,7.22E-08,0.247653858,0.236884316,0.185765189,0.091701222,5.59E-08,7.60E-08,0.059674164,0.396087069,0.69780787,0.550920487,-2443.405699,1.342008706
0,0.127824509,3.555442203,2.42050847,0.753640138,0.765177658,1.850276169,4.262292359,1.107460453,0.658105764,0.132349752,22.69767649,52.07160346,4.307416748,6.319023663,0.483144536,0.671263395,0.097551317,12.69944593,0.229365624,0.162329598,9.71E-08,4.58E-08,0.206534695,0.25419637,0.142858718,0.143865548,4.56E-08,7.92E-08,0.090214803,0.223698559,0.628597592,0.343636969,-2408.599527,0.286590198
0,0.052201447,5.954320812,5.03611133,2.944262205,4.132110136,4.829589673,5.391307658,0.805234131,0.945105611,0.108858748,82.48152118,221.62543,3.83476009,7.707141522,0.361968916,0.871237444,0.1290032,5.203863719,3.029136879,0.232937008,1.05E-07,1.07E-07,0.148536582,0.252559045,0.156979491,0.14824685,1.05E-07,8.90E-08,0.060740618,0.617080175,0.658974104,0.320926853,-2450.948293,0.616126802
0,0.106592818,4.908610686,3.454331407,2.746395756,3.584995515,3.656383875,4.255102791,0.747056936,0.847087847,0.089149419,34.44735499,37.23983029,5.730228755,7.299881941,0.182306525,0.49724768,0.071112171,0.978214671,1.441507004,0.166018432,7.91E-08,5.55E-08,0.187669885,0.317893729,0.150697151,0.10823876,7.48E-08,6.05E-08,0.069481773,0.371697566,0.623629479,0.411767846,-2376.038297,0.493447637
0,0.067353171,4.841643712,4.168243588,3.080344022,4.429327035,3.870054794,5.034033699,0.697476573,0.899527161,0.087963093,11.74199018,13.06976059,3.334544505,2.771666575,0.245877104,0.454813515,0.077089953,5.576929806,4.688954425,0.167749304,1.18E-07,5.19E-08,0.114657946,0.357676722,0.16487136,0.112920363,5.79E-08,8.59E-08,0.082123992,0.511737935,0.650699419,0.357988787,-2405.911704,18.451995
0,0.086706459,4.727605921,3.621522483,2.774405787,3.143756635,3.248806573,4.347889465,0.884330301,0.821169962,0.072566195,38.56850312,230.37486,3.836160723,8.41744681,0.408863839,0.835647141,0.218273353,0.566453502,1.605262373,0.131524682,6.79E-08,9.01E-08,0.189271968,0.345304228,0.174444435,0.105978768,7.40E-08,1.20E-07,0.053475567,0.334391433,0.717784584,0.337000096,-2394.98459,1.19231552
