omega,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.025316456,0.094177839,7.579942465,7.075636066,6.127709545,6.915437843,6.248352497,6.979487476,0.705010643,0.946895566,0.024333567,18.98784193,128.3773905,1.868494161,8.147108691,0.197770326,0.958185424,0.549093175,12.02573847,0.407416712,0.167476947,7.19E-08,6.38E-08,0.066197345,0.386190529,0.15814714,0.13889139,7.77E-08,1.22E-07,0.083096312,0.396607541,0.549744214,0.49603721,-2435.951846,0.847158275
0.025316456,0.147030791,5.845272027,10.80473857,3.925965577,6.757292851,3.819694776,7.720588621,0.383221177,0.728365095,0.216091133,93.2735272,636.939784,22.14244831,48.10388042,0.846833397,1.503150768,0.023875711,17.53455228,6.755276995,0.083828531,8.67E-08,7.66E-08,0.210201938,0.358443683,0.132404629,0.146431159,5.15E-08,8.95E-08,0.068689756,0.415224256,0.559524997,0.666675436,-2502.996006,0.725859023
0.025316456,0.18942433,5.230368473,10.51680381,5.848933745,10.00175956,5.715000153,9.967416526,3.403262299,0.987491925,0.039221782,93.92586578,108.8914497,1.43805434,0.637238857,0.073800157,0.155004284,0.506494322,0.513640364,1.036820581,0.156156721,7.90E-08,3.66E-08,0.1259042,0.422093256,0.122568602,0.126724666,3.89E-08,6.01E-08,0.04655234,0.506774698,0.445635823,0.447451176,-2451.333527,3.368618384
0.025316456,0.101089494,5.337890596,4.327417859,1.641376101,1.986106254,2.859711275,3.598646272,3.662780298,0.719316008,1.553169667,22.2428385,260.2262887,2.108693242,4.495772689,0.710279064,5.901813132,0.0069608,23.26863232,1.451900079,0.199453836,1.02E-07,1.04E-07,0.089874172,0.327336706,0.190917073,0.133458344,1.12E-07,1.28E-07,0.058959423,0.210456518,0.850967206,0.532740024,-2425.117203,0.828270081
0.025316456,0.046669915,7.306324261,6.532543787,5.97517944,6.14013514,6.063958602,6.473779146,1.329014309,0.866356549,0.045786762,19.2814166,122.814638,1.586656826,4.013433195,0.165096314,1.56552287,0.102833461,3.753655342,1.827745895,0.149930104,1.11E-07,9.24E-08,0.063418475,0.438463573,0.150097982,0.111982976,5.90E-08,1.30E-07,0.086106498,0.50748239,0.521618199,0.495173283,-2421.061773,2.501332037
0.025316456,0.04719016,7.590657917,6.595150575,6.003226058,6.562593364,6.628802428,6.750788552,2.178325033,0.912858289,0.066113711,7.711436119,216.2676516,1.23330085,3.868353781,0.210043629,1.831779204,0.012005004,1.608419505,3.28107626,0.195448016,6.36E-08,5.22E-08,0.202104421,0.252348748,0.136247636,0.143569934,8.27E-08,1.24E-07,0.070280923,0.260858993,0.613105627,0.333817616,-2377.049526,0.57122277
0.025316456,0.154294112,6.006192001,5.10128352,1.495741477,2.008562079,1.281385339,2.945017234,0.681105977,0.416370029,0.13864246,35.54415195,206.9007818,3.522963004,8.764978997,0.69480666,3.678436189,0.753097235,3.956612297,1.526348186,0.178432764,3.29E-08,4.72E-08,0.203375411,0.32701727,0.121603246,0.112215063,3.11E-08,4.54E-08,0.05735609,0.270131772,0.733984758,0.597816219,-2458.044873,2.616361676
0.025316456,0.043491175,7.325899658,7.026693447,6.612437671,6.658748318,6.643550146,6.712321028,0.916140032,0.92481591,0.042944507,56.70824644,30.82435767,3.223024196,1.796889633,1.221370065,0.624695002,0.355222061,1.404967888,0.867987349,0.158110895,1.07E-07,5.31E-08,0.142434674,0.338160671,0.134704761,0.13442496,7.35E-08,6.51E-08,0.09216374,0.394837871,0.743497282,0.519714686,-2443.071923,20.91218765
0.050632911,0.103926951,6.382695463,5.89039282,4.575977625,5.340288135,6.093922817,6.715288931,0.733593885,0.90854066,0.067324399,56.1342246,37.01565288,14.25742873,12.46088729,0.438724356,2.429639666,0.024655922,0.936174922,0.156367051,0.17737836,6.71E-08,4.51E-08,0.157005503,0.38973418,0.126121033,0.090456987,4.64E-08,5.46E-08,0.059303723,0.254899941,0.420115856,0.861941297,-2370.845896,1.211147684
0.050632911,0.035528553,6.648912809,6.277398526,5.909173335,6.466279686,6.087337126,6.512985106,0.881129003,0.955002367,0.036162092,5.305760261,66.1361585,1.053588362,5.0749075,0.753014711,2.188476129,0.27193077,0.526631932,11.21484252,0.156180681,8.11E-08,1.17E-07,0.058923836,0.348031749,0.261142391,0.110468732,9.96E-08,1.43E-07,0.06525217,0.311957578,0.853850991,0.366099652,-2392.686065,0.578969494
