theta,sigma,b1,b2,b3,b4,b5,b6,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.271377997,8.385413112,4.020084188,2.729192549,1.496804675,2.120437331,4.766296018,0.726757562,1.076454115,24.26558803,207.562266,1.68319142,14.27525213,0.116607077,1.916453211,2.763451313,2.11327229,0.992128631,0.492502866,0.11145676,8.45E-08,6.38E-08,0.074919516,0.462555716,0.174890385,0.108296932,4.87E-08,8.73E-08,0.067880406,0.118462706,0.546851778,0.76559926,-2454.450054,1.775616137
0,0.220286766,7.552318587,7.321330663,1.67353302,4.392528734,2.567143038,9.043043288,0.817516597,0.468523243,507.5748844,97.48540773,2.947640415,6.237398762,0.032951831,7.684684016,1.199005009,0.313652548,1.295668676,2.670403158,0.173440923,7.19E-08,5.91E-08,0.115710685,0.365118136,0.139405638,0.129069568,8.17E-08,1.17E-07,0.07725472,0.169347693,0.705288819,0.442895334,-2458.442665,1.133020247
0,0.186527655,10.43179317,6.967874599,3.025033207,3.590594444,1.899746215,4.495158611,0.598995442,1.373478278,388.3668489,83.78402343,2.307629831,3.653530746,0.154605521,1.934797427,1.742963659,0.054144769,1.4155738,19.63526598,0.208070761,7.58E-08,6.80E-08,0.083362866,0.346589165,0.13801504,0.112571849,5.54E-08,5.81E-08,0.111390063,0.082825298,0.643702546,0.500080243,-2481.008624,5.576481758
0,0.074760468,5.5479799,4.83199013,3.151741938,4.264779804,4.749994136,5.449387445,0.954043905,0.031584481,4.916116695,11.09671074,18.89052934,1.274535453,0.042829066,0.42594381,2.471446409,0.016955572,20.63379415,0.293966752,0.199120651,9.67E-08,3.63E-08,0.166263037,0.32038421,0.143533629,0.102368815,4.89E-08,1.01E-07,0.068329375,0.589129445,0.621270074,0.378821767,-2366.788151,1.03096943
0,0.109058727,4.809032115,4.501358284,2.913321364,4.449107425,4.677003009,5.278806577,0.93506598,0.113069944,6.064734365,9.592880499,8.08462038,1.043280481,0.239007069,0.790744175,0.569554763,0.043500099,6.287063343,9.044843569,0.146518875,1.11E-07,3.60E-08,0.167383929,0.307599514,0.136780036,0.145374403,8.39E-08,7.45E-08,0.096342939,0.566513097,0.543541015,0.355599614,-2384.435702,2.584554684
0,0.265550931,8.824529341,5.686159219,0.814856087,3.299909792,1.812858077,3.970967546,0.730416488,0.661191318,31.25084354,21.34793307,41.89200973,1.36368614,0.149318175,4.291792777,1.182958698,0.172030171,8.317399987,10.13092022,0.20991562,9.17E-08,5.70E-08,0.15595536,0.400844362,0.07962691,0.101034645,4.06E-08,9.65E-08,0.052622818,0.145572487,0.618836364,0.460919637,-2469.215811,0.676333013
0,0.099058141,5.33153622,3.308863794,3.096552424,3.698921299,4.547396806,4.708915547,0.930082954,0.077872313,5.364193654,15.633496,6.662090275,6.017150274,0.128072849,2.097308243,0.764241938,0.14075547,2.079758116,1.629864024,0.147922353,5.94E-08,5.31E-08,0.220613237,0.339138221,0.130582153,0.092566227,6.90E-08,8.14E-08,0.069177546,0.806842644,0.63765567,0.731426626,-2371.609555,0.468836288
0,0.102081925,5.180199107,3.851808464,2.997828735,3.416749585,4.105961274,4.794613989,0.906431499,0.131867773,4.778527564,10.10134615,10.63396795,1.58517362,0.795611898,0.320776898,0.691096546,0.224431822,2.27180261,12.63806915,0.169424857,6.65E-08,9.03E-08,0.074615844,0.481520133,0.139091996,0.092473426,7.72E-08,8.76E-08,0.042873423,0.347718235,0.787906512,0.371057603,-2377.64174,0.397525301
0,0.306833775,9.39952473,2.417327947,5.489917146,0.741582449,5.228798806,4.395417978,0.875489268,2.648693722,5482.519401,53.40588658,3.474227622,12.15315068,1.106174598,11.99488019,1.741951689,1.258074684,80.48193139,2.997860724,0.107161805,5.61E-08,5.43E-08,0.258385585,0.258368436,0.162990156,0.104554405,6.54E-08,9.02E-08,0.108539347,0.437973003,0.703669071,0.404524055,-2460.857521,0.963318646
0,0.245243908,11.81302886,3.286767319,4.833653427,1.951279753,6.829728555,2.94169942,0.892067245,0.495577517,199.0333783,43.5569791,11.63012375,7.505562342,0.02883546,3.934296884,1.535845432,1.005159308,1.098133135,84.48848049,0.189478583,6.08E-08,6.91E-08,0.158388946,0.29528648,0.169417381,0.110562922,9.84E-08,1.22E-07,0.076865337,0.087241986,0.706066099,0.377000274,-2463.117024,2.059934805
