wL1,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.148780721,4.62118632,2.24855322,1.613519132,0.869061786,3.524047307,3.343380438,48.30294163,0.918375351,0.080720951,1.217383192,562.1976762,2.691276373,1.322146994,6.374315184,1.517655093,0.08688172,10.70771532,13.40297923,0.241570338,6.16E-08,5.78E-08,0.213539716,0.296632923,0.117411721,0.093889262,6.12E-08,8.96E-08,0.03695577,0.209089411,0.568794167,0.346474825,-2374.969457,0.827229465
0,0.189737146,9.049770043,5.512402505,1.674464561,1.554112337,1.447373385,4.247416536,4.32120468,0.676681127,2.609987707,32.83677667,91.18335877,1.129780988,0.072652382,2.973364178,0.662909766,0.112695612,1.997170671,3.555021929,0.174834408,8.34E-08,7.45E-08,0.117209272,0.368533013,0.136265084,0.114717545,7.37E-08,6.90E-08,0.088440377,0.104000093,0.509558473,0.545383597,-2474.231889,2.061512401
0,0.240101057,8.569096564,6.672849257,1.892123356,4.468950659,4.612093689,7.363218471,1.167681515,0.994081485,1.007225868,179.4205234,62.82766842,0.242052789,0.435878227,0.604796425,8.552191624,0.012979,2.406752404,2.499949659,0.201333202,1.00E-07,1.06E-07,0.220309694,0.332392618,0.131226509,0.083164021,4.32E-08,8.57E-08,0.03157362,0.157148901,0.796814368,0.486159748,-2468.16633,1.180432782
0,0.216643955,9.768393711,6.466846066,2.949171087,2.311852252,3.688635577,4.779018238,0.538893682,0.783878349,0.489778844,451.7860667,327.0509505,4.358694403,0.245220019,5.70851443,1.561830946,1.26336847,0.87661033,0.188161718,0.190612943,1.07E-07,8.06E-08,0.117749859,0.309099649,0.16856364,0.135639453,6.95E-08,1.23E-07,0.078334076,0.155929153,0.839827626,0.549925542,-2452.173347,0.398495655
0,0.276684303,8.443181871,5.521500462,1.667240117,2.227740379,3.422868064,3.52609278,3.797283325,0.754966475,0.328315507,26.68608135,89.56694133,1.178424814,0.02703804,2.879075741,1.399618319,1.921141787,1.427272385,2.63317801,0.181566934,1.45E-07,9.11E-08,0.074533404,0.389656316,0.131136324,0.136440684,7.06E-08,9.24E-08,0.086665937,0.069894516,0.857889381,0.454738916,-2443.154904,2.669221413
0,0.076138089,5.480460964,3.917094696,3.507972022,3.627161943,4.573222567,4.378571076,1.178291798,0.889019215,0.054712244,2.667725341,144.9118278,5.220095778,0.044360434,1.485235712,0.970794516,0.51200141,8.734111461,1.035393211,0.180291192,5.77E-08,5.98E-08,0.186495104,0.361189679,0.143978035,0.07586683,7.36E-08,8.17E-08,0.052178887,0.478197629,0.540779577,0.417211346,-2373.39644,0.554223178
0,0.109870235,4.223372159,1.98686951,2.102584462,2.753767921,2.557308185,3.71238592,16.14728418,0.808705099,0.0741272,7.118322058,150.9878362,3.03887873,0.546931134,5.847860679,0.538933193,0.043221522,0.257692103,5.559475415,0.132777915,1.37E-07,7.20E-08,0.100859048,0.396480447,0.186723875,0.11229331,7.82E-08,8.38E-08,0.070865034,0.648492136,0.631102977,0.304206606,-2400.415167,0.761239578
0,0.126157111,2.847552559,1.708788145,1.237589085,1.867730005,2.234696939,3.818838433,4.821010681,0.854397566,0.04411381,221.2941583,282.5654401,4.221871271,0.139810705,7.398425917,1.619861882,0.699911259,1.651865891,24.7109908,0.249233413,1.05E-07,1.21E-07,0.109324615,0.272502345,0.16788341,0.101483766,8.39E-08,8.39E-08,0.099572059,0.369681573,0.8634687,0.314890086,-2411.444223,0.515174848
0,0.238380625,6.094472018,4.694174125,2.127304813,2.709259545,4.800900922,4.285085924,0.609874376,0.848985963,0.144677815,6.585295926,162.7921592,13.77748107,0.075355108,10.74952416,0.717494891,0.226157562,37.72160409,3.267585828,0.204977155,7.69E-08,6.41E-08,0.22629088,0.207535979,0.185233103,0.099365703,5.33E-08,9.80E-08,0.076596887,0.257766407,0.743982861,0.484194317,-2449.890692,1.745739524
0,0.265369021,10.29769494,7.108969709,5.66094274,5.26195925,5.131249816,6.903822914,0.401141674,0.835879352,0.659262182,512.8171091,46.39372484,1.36256032,0.027166504,1.796520695,1.311334293,0.820675766,0.941872027,43.30824778,0.168528416,8.51E-08,8.85E-08,0.180487682,0.334607353,0.162283012,0.097255171,4.68E-08,6.59E-08,0.056838079,0.114927894,0.451629915,0.441775926,-2458.5006,0.596021078
0,0.270112551,7.542491757,7.909345691,2.031600037,4.495362869,4.344196382,7.081309772,5.318801808,0.821355848,2.039627628,158.2308604,677.537421,1.975955867,0.194567344,2.432100088,1.192380956,0.254235491,2.413980195,9.888152002,0.174378237,8.12E-08,6.34E-08,0.20449019,0.317795441,0.156009463,0.090158829,3.24E-08,7.01E-08,0.057167594,0.177077697,0.716328616,0.464120208,-2441.326037,0.790075329
0,0.179320964,9.741219939,6.432601241,4.187881951,4.771294028,3.707217471,6.86403633,4.347172981,0.782991498,2.16180875,108.3217466,164.5665912,1.20145426,0.062734731,0.185813908,4.427093281,0.145222909,4.96828481,24.88197066,0.181119091,7.41E-08,5.43E-08,0.179232607,0.371983744,0.113283073,0.119903811,3.78E-08,7.27E-08,0.034477436,0.059148924,0.84883223,0.415117197,-2455.788336,0.662898291
0,0.09111508,5.630272253,3.083096488,2.402535761,2.713169669,4.431598979,4.009031471,1.742386921,0.909922105,0.077517367,4.261612409,56.38704979,1.90559283,0.856456138,2.83870243,1.170454702,0.418785587,115.810634,15.27960437,0.106452753,6.79E-08,4.45E-08,0.164148825,0.445044529,0.122882088,0.075634601,4.00E-08,8.14E-08,0.085836971,0.565099644,0.615833427,0.343329497,-2385.14614,1.015038555
0,0.069835602,5.785077754,4.147967158,3.355893757,4.047061406,4.144268909,4.733157564,2.157193172,0.872100041,0.179620321,5.943978258,416.6800809,3.427907357,0.668269034,0.82371399,0.28383997,0.083255739,53.32459548,0.391270098,0.059632885,8.45E-08,6.20E-08,0.186601756,0.41954056,0.143518951,0.143114876,5.95E-08,6.07E-08,0.047590705,0.623064619,0.607985131,0.376561878,-2383.011725,1.56219958
0,0.108405343,5.068863366,4.450434135,2.531841228,4.011346086,3.801937771,4.848507109,2.56253974,0.866498061,0.088577118,2.492706291,74.76900228,2.276654799,0.002214345,0.803704617,0.685018707,0.06326004,6.007936647,0.745942181,0.093535786,1.17E-07,6.83E-08,0.185919743,0.372270301,0.170753649,0.122160094,7.95E-08,1.02E-07,0.055360062,0.375039651,0.588672006,0.385215451,-2352.856944,0.3975669
0,0.238230892,7.000140891,6.655603623,2.251289182,2.620583951,0.310563595,7.296684029,2.841898345,0.634220994,0.768735143,52.50563724,173.0603498,1.576244504,0.101681674,3.530866654,2.633913056,0.382987064,23.89410419,0.648082218,0.201712554,6.62E-08,8.44E-08,0.107934937,0.371684326,0.137765014,0.104296625,4.45E-08,7.50E-08,0.076606275,0.220348512,0.67324882,0.481370311,-2455.10319,0.543130387
0,0.195520237,5.406040757,5.284078944,2.887195129,5.121448085,5.002995068,5.958517062,3.854648834,0.955610081,0.130011345,11.80907581,164.3579715,1.320903975,0.106606764,5.26064284,0.487683756,0.176252364,2.750317462,1.579220354,0.189292289,1.35E-07,6.88E-08,0.18895636,0.295307954,0.158287421,0.112621273,3.83E-08,6.18E-08,0.0555344,0.86046811,0.692509249,0.455701696,-2390.900224,0.876770408
0,0.289018475,8.022862501,5.523598939,2.084568686,1.862893228,2.748018826,7.075095924,6.872128559,0.785089989,0.909559895,190.3496218,265.2521375,1.383595015,0.080694937,5.49661116,0.988948778,0.380479564,2.797580633,6.508711702,0.19210851,6.13E-08,7.22E-08,0.15476081,0.271697072,0.189013162,0.138523633,3.29E-08,1.31E-07,0.053896516,0.173387086,0.646351224,0.494853797,-2443.180175,0.790158639
0,0.088331269,4.259037337,3.030278331,1.654852603,3.431971717,3.10890132,4.309717387,0.266906278,0.920343085,0.066620662,2.049810785,19.787016,65.37921065,1.355348874,2.797289513,1.026765316,0.370724526,11.70855992,3.133035179,0.102847727,6.84E-08,3.83E-08,0.195281217,0.433035744,0.131829965,0.083865254,3.70E-08,4.77E-08,0.053139902,0.324728559,0.569603071,0.416096504,-2359.907582,0.955694328
0,0.193651871,9.629127508,6.103850476,1.503846293,3.7534861,2.226944011,4.11865751,5.301343152,0.723907153,1.415238115,744.3128099,676.7896668,1.315276551,0.350494296,8.117058951,1.696859229,0.067465728,1.23795143,9.359725696,0.098551947,9.15E-08,4.43E-08,0.191777314,0.301125247,0.147686161,0.158712161,8.77E-08,9.28E-08,0.102146853,0.261286996,0.780729972,0.618896655,-2459.96537,6.455400816
0,0.115431788,4.715788205,3.361780454,2.088328283,3.198717013,3.333422068,4.526104531,1.331885878,0.863702153,0.128955506,1.097070641,9.981689629,3.820126718,0.479023832,3.260634592,0.510498895,0.077073411,9.216148206,3.481945984,0.098839591,5.91E-08,4.94E-08,0.14468412,0.369386125,0.164617764,0.136257813,9.76E-08,5.60E-08,0.086214325,0.226350221,0.70118718,0.355276433,-2386.805495,0.400185868
0,0.118643135,3.749731934,1.672647056,0.286894916,2.607414833,1.974401163,3.761568939,6.170551038,0.814885194,0.069909502,8.023032466,68.72615653,3.492195317,0.583840706,7.076687398,1.091737161,0.03340093,8.043442686,5.059304501,0.220306545,1.05E-07,4.90E-08,0.180510268,0.300326059,0.143619308,0.101749017,7.46E-08,1.19E-07,0.053488456,0.217779537,0.670879631,0.448480043,-2398.814215,0.788906138
0,0.073789685,4.871945909,2.806012755,2.247303135,3.404304666,3.00684538,4.487956367,11.22584568,0.902545769,0.046566285,1.143127943,74.20125521,1.8660217,0.034408077,1.201100099,1.459478253,0.045744575,0.149450051,1.500241221,0.18854343,8.19E-08,6.20E-08,0.18209418,0.340583379,0.135260862,0.104225671,5.74E-08,7.04E-08,0.049292205,0.224920764,0.418638559,0.423739914,-2385.012878,1.09000823
0,0.227579171,8.540926234,7.36507418,3.910984673,4.95376801,4.405854613,6.660261158,0.551976489,0.826851921,2.89137356,909.2200191,88.17920709,2.067687525,0.117913019,0.362796931,1.044538636,1.78545151,102.654356,0.511571106,0.135285298,8.26E-08,7.50E-08,0.157461632,0.47641514,0.118326659,0.076826163,3.25E-08,8.92E-08,0.035684828,0.03786351,0.784152988,0.344266313,-2463.007267,1.20853933
0,0.10440705,4.996433448,3.145077693,2.25229965,3.609356554,3.754636971,4.627849151,2.430660515,0.905593352,0.137681839,3.281255138,61.29359376,1.978961611,0.449041709,2.895144737,0.394368624,0.053085069,0.129805845,1.556690907,0.156763129,5.80E-08,7.83E-08,0.178861314,0.303097231,0.166921583,0.137491523,9.15E-08,7.35E-08,0.05686492,0.393277311,0.544821492,0.33770576,-2361.201809,1.338289059
0,0.095338251,4.742217458,3.413758656,1.880326609,2.989550036,4.062995503,4.502857139,2.223338605,0.914396274,0.105720949,2.467871375,89.69686121,2.652306407,0.74543252,3.270541036,0.570363873,0.324849763,0.120459303,5.911513892,0.238447537,8.30E-08,9.84E-08,0.097684931,0.308832711,0.175842886,0.115591512,7.08E-08,9.19E-08,0.063600078,0.312173686,0.541936857,0.417619148,-2370.795741,2.872169224
0,0.274225637,10.01339599,5.426231608,6.159876135,3.014286355,6.867025219,4.814091933,0.721556191,0.81213178,5.544790812,494.5736227,85.80983175,1.166449506,0.18032445,0.319925704,8.229179275,0.432468386,0.384704736,5.993226015,0.142996341,8.32E-08,5.28E-08,0.128525233,0.448593333,0.129941512,0.078588496,4.22E-08,1.11E-07,0.071354796,0.157534437,0.690211865,0.572991114,-2472.438143,1.006661515
0,0.209761933,7.839147038,5.960905925,3.081696538,5.488916816,3.175117696,7.875014389,0.875962921,0.829038882,2.554119543,115.5225395,546.0866893,7.485974187,0.140894715,3.199533597,4.123051351,0.306860345,3.754873353,1.242935203,0.200164917,4.07E-08,8.40E-08,0.213363511,0.36957481,0.095538921,0.077665258,6.13E-08,7.31E-08,0.043692325,0.119489154,0.721769599,0.394246587,-2433.475895,0.656204639
0,0.084967566,4.181527736,4.106525222,1.665285581,3.094857548,3.515242025,5.210192602,6.669802351,0.948683385,0.179329827,2.580503792,40.26351757,1.832352273,3.355500468,3.753878683,0.458952732,0.081187058,1.772666036,0.466419349,0.15393347,2.56E-08,6.41E-08,0.060891837,0.403718065,0.175531568,0.14599904,3.85E-08,6.88E-08,0.059925823,0.327008035,0.583353004,0.392859471,-2362.321223,0.239504938
0,0.095034991,4.789658378,4.305786504,2.576850608,4.218491407,3.773597896,5.038662321,2.748290227,0.888745459,0.053775932,1.372885868,30.36569836,2.093394196,0.095755606,0.654630718,1.0649915,0.195434253,7.530175351,8.792119262,0.126897234,8.44E-08,5.53E-08,0.161623087,0.383507317,0.161738447,0.117328455,6.08E-08,9.33E-08,0.048905167,0.370066797,0.655095613,0.448965846,-2349.734986,0.125649931
0,0.100977264,4.087839595,3.220544132,1.195457899,2.091916246,3.787223338,3.537362732,1.172575016,0.920118331,0.073030088,1.60689779,137.9752721,4.867492576,2.99389811,4.981645786,1.178083863,0.008737321,34.955731,14.1035112,0.116354289,5.66E-08,7.50E-08,0.125169508,0.417211617,0.163242967,0.138214974,1.11E-07,8.96E-08,0.039806312,0.345575939,0.539330964,0.397636366,-2379.855685,2.109532664
0,0.119530926,5.322620641,2.353624417,2.254983405,1.972025727,3.161823981,4.550549902,4.818067069,0.825621942,0.136638218,7.995349227,5.232766758,1.497147226,0.023656249,1.461882137,1.191003004,0.038124242,4.332144458,1.716749262,0.192563418,1.05E-07,7.31E-08,0.134706047,0.237343879,0.199911291,0.169220696,9.72E-08,8.05E-08,0.066254312,0.10791167,0.590450286,0.419114415,-2395.581521,0.253064347
0,0.225192819,7.701920183,6.608119044,1.789735992,1.946212351,2.576221875,6.141983173,9.962700714,0.69705243,0.991840235,26.56195859,1054.169245,1.358933222,0.07835525,3.380460107,7.776082849,0.035481825,13.78169278,2.028341209,0.177108735,8.92E-08,8.67E-08,0.106502247,0.352851712,0.185866569,0.11341643,6.67E-08,1.06E-07,0.064253958,0.171099934,0.634207637,0.458303947,-2456.46285,0.852179074
0.253164557,0.056370379,5.099106394,3.946683404,3.817446495,3.913071659,4.038005342,4.741283493,0.542920966,0.860484661,0.077864345,3.93957424,583.588926,21.15992538,0.673272741,2.965358202,0.489256702,0.014972434,0.904197041,5.396733879,0.194445815,7.71E-08,4.47E-08,0.234142118,0.258021571,0.143335046,0.109727799,5.61E-08,8.25E-08,0.06032739,0.394987558,0.886917526,0.377690851,-2396.661837,0.922322183
0.253164557,0.09433385,4.904620913,3.480515255,2.775339815,3.566352483,3.85143577,4.812207174,3.415590468,0.881856904,0.105066678,5.18798849,40.25834107,1.210051934,0.564386258,3.207636643,0.409421401,0.058348242,9.384354437,20.93028179,0.246444637,6.38E-08,6.51E-08,0.163385489,0.352131677,0.101549485,0.089952781,3.86E-08,6.72E-08,0.046535695,0.843975961,0.614163529,0.324629769,-2365.781956,0.373385144
0.253164557,0.14433357,5.941692878,3.34862653,2.832615735,1.92955537,5.427281994,3.592418736,14.11479863,0.871183696,0.042561366,6.585822738,46.96703574,1.045662715,0.84829864,2.448104301,2.056418295,0.427270147,9.00433143,6.415366796,0.115231122,6.34E-08,9.12E-08,0.130414657,0.335179773,0.171808324,0.166005508,4.84E-08,1.03E-07,0.08136031,0.38665863,0.537672015,0.39743519,-2365.995618,0.516207746
0.253164557,0.056087549,5.221574221,3.630068016,2.731851211,3.935237318,3.836724921,4.277969395,3.135220381,0.891608625,0.024133459,4.108624949,80.84202244,1.962429974,0.213781476,1.143377062,2.458696165,0.879463743,1.341230586,9.959561845,0.186052459,8.05E-08,1.00E-07,0.113515706,0.346998624,0.157569906,0.09901297,6.60E-08,1.11E-07,0.096849978,0.320514999,0.60834317,0.349048608,-2368.592758,1.460732736
0.253164557,0.282292724,5.245670713,7.767790076,0.514370013,2.711341747,1.124785085,7.442147649,8.08005244,0.838061085,2.258244837,99.78341644,596.7677861,1.930297029,0.109624885,6.094967055,0.885189909,2.16245247,44.55112599,7.3154605,0.180027189,1.32E-07,7.40E-08,0.121174009,0.261424329,0.189429174,0.134221983,4.78E-08,1.39E-07,0.113722922,0.244471929,0.595554794,0.475957171,-2440.317569,0.359467387
0.253164557,0.124845147,5.157147654,3.206786823,2.426422878,2.983509987,4.286038863,4.845763269,5.48244384,0.914241126,0.066539593,5.825539253,115.6664435,1.681585594,0.116810322,4.11758471,1.086934915,0.648634088,6.44157307,6.14453017,0.185743187,6.38E-08,6.01E-08,0.176331039,0.352850368,0.141467779,0.088909967,7.84E-08,8.90E-08,0.054697368,0.679358381,0.680606694,0.349065589,-2369.498276,0.560051606
0.253164557,0.085257947,5.185756512,3.574939382,2.367846058,3.553917802,3.821644447,4.705023771,31.65957436,0.88802452,0.105698564,3.619092461,75.53461576,1.86145787,0.271437151,2.783739508,0.366371872,0.07433156,23.85925588,8.838144659,0.084847035,5.90E-08,7.34E-08,0.223797121,0.275404851,0.191148701,0.141907907,6.67E-08,5.56E-08,0.082894131,0.759084568,0.590536437,0.427922989,-2379.962422,1.233103638
