xi,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.117729656,4.574046241,2.742108174,1.08146455,2.119505772,3.787135478,4.253935221,0.995519657,0.879331159,0.059790239,129.0995039,43.19102782,5.695453182,5.178001821,1.032873512,4.037502103,1.563686402,5.498192273,0.788416922,0.133857091,9.16E-08,6.42E-08,0.129461607,0.346253835,0.172888122,0.137131329,1.05E-07,1.08E-07,0.080407648,0.352192109,0.409272769,0.428624579,-2460.384958,5.686473213
0,0.092444826,3.644384462,3.455720302,1.601085432,2.442782583,2.939565583,4.102520617,0.336580278,0.796544827,0.131709891,119.5801964,571.7455088,45.56904123,89.55217423,0.021741318,1.845089833,0.52967391,6.568742074,6.033150081,0.186453373,5.75E-08,3.45E-08,0.116112635,0.335720244,0.132335475,0.15799513,2.49E-08,7.07E-08,0.071382956,0.42557712,0.596429271,0.456977148,-2412.125741,2.482667179
0,0.088168184,4.522439654,4.052301412,1.850979663,2.445084363,4.559568046,4.212009924,0.982158349,0.916599946,0.063364768,12.37378847,16.38917338,2.171099221,2.485945467,1.383653135,0.821420473,1.128787194,1.470921175,1.145112342,0.188461775,4.30E-08,6.54E-08,0.072476471,0.407494085,0.145797241,0.113335362,6.52E-08,6.19E-08,0.07243483,0.381227238,0.468936024,0.450583751,-2367.630408,0.678177446
0,0.138416461,5.302235168,2.750501227,1.736244448,2.383498498,3.072294559,3.096066463,1.364910045,0.785200231,0.217453997,22.73506164,81.93635792,2.819765997,5.983088906,0.02964643,2.644613983,0.322971366,3.801547771,1.940626644,0.096448157,6.01E-08,9.71E-08,0.157311507,0.274177748,0.254297257,0.122520521,7.91E-08,6.45E-08,0.095244508,0.342707064,0.628717239,0.398290391,-2390.788753,0.858368051
0,0.149232624,5.917553515,2.436767029,1.91985295,3.402573439,3.026622443,4.177460153,1.987344462,0.811581669,0.246368267,166.233093,102.6702181,3.560410713,4.176823711,0.061528009,0.924631948,0.353695416,3.506184932,1.954488704,0.086126107,7.27E-08,8.53E-08,0.184009184,0.433594805,0.10796716,0.14238155,5.00E-08,1.01E-07,0.045920885,0.137690013,0.503436705,0.569353036,-2386.823397,0.592421707
0,0.084616471,4.692042194,2.899619278,1.117697578,1.861399004,3.631005152,3.824488599,4.54733969,0.854190291,0.156913691,19.18869516,133.3248719,1.047835077,2.268873198,2.061562183,4.325002907,0.521928364,21.87758894,0.291292871,0.12963362,1.79E-07,9.79E-08,0.109012532,0.293445083,0.185384504,0.176707434,1.40E-07,1.44E-07,0.105816268,0.37990387,0.474735606,0.528944135,-2396.271153,0.897680652
0,0.111481016,3.824657522,3.735100747,1.397557147,4.105815342,2.576574543,5.727436914,1.418635839,0.861894737,0.06823796,41.2988522,147.6409832,5.07083908,5.616105461,0.313827848,2.571070596,0.778851575,6.742185514,4.793149999,0.115729017,5.50E-08,6.43E-08,0.216367381,0.280911307,0.179046935,0.12969137,4.46E-08,1.04E-07,0.078253721,0.361117127,0.432686574,0.319469828,-2363.792816,0.569480331
0,0.128084445,4.594481651,3.352886633,1.555529523,1.693046388,3.301862361,4.018076119,0.721850267,0.793390132,0.255788771,18.71615001,155.5440632,6.189452945,14.04093225,0.082061772,1.304538662,0.351105604,4.18005774,0.306464321,0.113315594,1.30E-07,5.95E-08,0.118021042,0.37755338,0.153767267,0.173978914,4.01E-08,6.05E-08,0.063363513,0.266204198,0.605355016,0.385802338,-2334.43747,0.326702319
0,0.106530604,3.740050634,2.322401533,1.246096294,2.478641222,3.031080264,3.964251392,0.998983581,0.844247176,0.043538275,60.35954884,39.77392007,9.922510916,5.936879551,0.968941999,2.126111281,1.398682522,6.88692845,3.430930972,0.095552862,1.02E-07,7.04E-08,0.226202915,0.315140788,0.14501228,0.140487779,4.54E-08,1.23E-07,0.077603034,0.399427771,0.514012687,0.411542389,-2360.243089,0.361885836
0,0.135598795,3.523399334,3.424037378,0.577025683,1.998361946,2.339374899,3.78017663,2.440370543,0.797513681,0.145676069,377.5373389,274.5696325,3.526389687,3.989734907,2.956976067,2.387061085,0.600498415,20.88305813,7.714567872,0.112037441,1.13E-07,5.51E-08,0.082906813,0.484967199,0.117381515,0.162712376,5.34E-08,9.33E-08,0.039994341,0.294546618,0.683503494,0.288128019,-2413.434154,0.542747925
0,0.111259622,3.473054581,2.226284202,0.210325573,1.709999526,1.690054853,4.06317374,2.890567098,0.712813829,0.286292087,362.2411968,52.08287742,5.737347964,3.474530749,1.298506976,5.241435525,0.233898473,0.599128802,0.260534349,0.133613885,5.55E-08,1.04E-07,0.099560879,0.486254755,0.12866169,0.097055609,5.61E-08,7.30E-08,0.054852894,0.478047688,0.484529916,0.402877956,-2379.767019,0.800050427
0,0.138274166,3.49254908,2.559953221,0.610938772,2.559812067,1.794770862,3.521081671,1.913417134,0.77850067,0.413538418,68.64307356,279.9283818,5.995955788,5.61503554,1.812095772,10.80564537,0.153550406,1.085158625,3.119412122,0.115179928,1.29E-07,6.34E-08,0.187215579,0.289998297,0.168549251,0.12668524,7.63E-08,1.15E-07,0.112371321,0.803017299,0.550902969,0.410405448,-2370.707225,0.571739023
0,0.093981166,4.58768981,3.255233819,1.382123279,3.406315978,3.669491969,4.093849359,0.719112686,0.883683418,0.076113577,1.632338338,56.01852542,0.792847358,8.713825476,0.508809322,2.741310512,0.750934206,2.343474961,1.587940547,0.277775771,5.33E-08,7.90E-08,0.223326125,0.222869533,0.11419311,0.115929931,4.53E-08,7.37E-08,0.045905279,0.378372475,0.809792793,0.408472766,-2373.406136,0.605370852
0,0.088576982,4.566903802,3.447626932,1.058738061,3.272870517,3.157066364,4.242825366,1.383339062,0.86967578,0.129536565,8.648071236,59.29973226,1.613322611,3.927599471,0.558911777,2.522494309,0.493317217,8.562316151,2.831830062,0.082467358,4.89E-08,8.27E-08,0.193402437,0.322885033,0.168347183,0.13086888,7.54E-08,8.70E-08,0.102028816,0.365234929,0.524527248,0.639050349,-2356.368749,0.703338842
0,0.08464103,4.562472452,3.791426512,1.599755697,3.201221656,3.534538132,4.345660386,1.422123992,0.869711596,0.246094923,54.17683965,110.1904021,4.04119685,5.363006497,0.548523432,0.71871601,0.278699074,16.28005592,1.725329348,0.125475269,7.98E-08,9.51E-08,0.146061108,0.312655494,0.149878716,0.177359173,9.38E-08,6.46E-08,0.088569907,0.322019915,0.331825297,0.381604705,-2369.77399,1.012648788
0,0.082411146,4.594717873,2.992754251,2.019558712,2.732779433,3.565156367,4.017368077,3.358417046,0.847806108,0.263067804,23.47394069,45.78781282,1.217026519,1.862092088,0.714296041,1.044527316,0.230956947,0.881292864,1.12540547,0.150767528,6.88E-08,4.53E-08,0.090862457,0.422340908,0.130380787,0.117403408,3.26E-08,6.25E-08,0.088244703,0.53710601,0.423566523,0.355935457,-2370.168746,0.704210206
