"month","mean","lower","upper","H3N"
2014.75,7e-05,0,0.00014,NA
2014.83333333333,0.0037,3.97500000000001e-05,0.00778025,NA
2014.91666666667,0.09979,0.002136,0.21422025,0.12853
2015,1.1444,0.03474725,2.3811025,0.94782
2015.08333333333,1.776405,0.01014925,3.49450575,1.56276
2015.16666666667,0.43881,0.00544000000000001,0.9133445,0.44897
2015.25,0.056465,0.00187975,0.1180325,0
2015.33333333333,0.005775,0,0.01251025,NA
2015.41666666667,0.00096,0,0.00203025,NA
2015.5,0.00049,0,0.00103,NA
2015.58333333333,0.00078,0,0.00164,NA
2015.66666666667,0.0023,0,0.00493,NA
2015.75,0.00875,0.00029925,0.0182605,NA
2015.83333333333,0.03095,0,0.0706305,NA
2015.91666666667,0.08265,0.000486750000000001,0.1990825,0.12218
2016,0.172815,0.0056165,0.41070725,0.10312
2016.08333333333,0.21284,0.00282975,0.46702175,0.14857
2016.16666666667,0.108115,0.00247775,0.22956125,0.0578
2016.25,0.020515,0.00085925,0.04227175,0.00359
2016.33333333333,0.00213,0,0.00453,NA
2016.41666666667,0.00034,0,0.00073,NA
2016.5,0.00017,0,0.00035,NA
2016.58333333333,0.00026,0,0.00057,NA
2016.66666666667,0.00101,0,0.00214025,NA
2016.75,0.00932,0.00026,0.019361,NA
2016.83333333333,0.1202,0.0046835,0.24433025,NA
2016.91666666667,0.759725,0.02251125,1.5569515,0.8276
2017,1.33279,0.039656,2.6781405,2.48018
2017.08333333333,0.59896,0.0261895,1.221044,0.61516
2017.16666666667,0.140655,0.0035155,0.2848425,0.0307
2017.25,0.02113,0,0.04264,NA
2017.33333333333,0.00242,0,0.00503025,NA
2017.41666666667,0.00043,0,9e-04,NA
2017.5,0.00023,0,5e-04,NA
2017.58333333333,0.00039,0,8e-04,NA
2017.66666666667,0.00123,0,0.00252,NA
2017.75,0.00491,1.97500000000001e-05,0.00991,NA
2017.83333333333,0.018875,0.00021925,0.03823075,NA
2017.91666666667,0.04802,0.0017285,0.10572125,0.06011
2018,0.09946,0.0033155,0.216936,0.1366
2018.08333333333,0.11917,0.00471875,0.262561,0.08656
2018.16666666667,0.05941,0.0010875,0.132882,0.08031
2018.25,0.011085,0.0005095,0.0246505,0.00048
2018.33333333333,0.00115,0,0.00263,NA
2018.41666666667,0.00018,0,0.00042,NA
2018.5,9e-05,0,0.00021,NA
2018.58333333333,0.00014,0,0.00032,NA
2018.66666666667,0.00047,0,0.00105025,NA
2018.75,0.00288,3.97500000000001e-05,0.00627025,NA
2018.83333333333,0.02027,0.00074925,0.04272075,NA
2018.91666666667,0.09245,0.00443875,0.19397075,NA
2019,0.282765,0.00802225,0.565712999999999,0.20685
2019.08333333333,0.385815,0.008538,0.78951775,0.36518
2019.16666666667,0.203185,0.002109,0.4054235,0.3525
2019.25,0.03794,0.00100725,0.07626025,NA
2019.33333333333,0.00374,0,0.00781025,NA
2019.41666666667,0.00058,0,0.00125,NA
2019.5,0.00028,0,0.00062,NA
2019.58333333333,0.00044,0,0.00097,NA
2019.66666666667,0.00152,1e-05,0.00342,NA
