"month","sum","Subtype"
2010-01-01,7,"H1N1"
2010-12-01,14,"H1N1"
2011-01-01,76,"H1N1"
2011-02-01,24,"H1N1"
2011-03-01,6,"H1N1"
2012-12-01,5,"H1N1"
2013-01-01,34,"H1N1"
2013-02-01,51,"H1N1"
2013-03-01,4,"H1N1"
2014-01-01,6,"H1N1"
2014-02-01,9,"H1N1"
2014-03-01,12,"H1N1"
2014-04-01,2,"H1N1"
2015-01-01,33,"H1N1"
2015-02-01,20,"H1N1"
2015-03-01,2,"H1N1"
2015-10-01,2,"H1N1"
2015-11-01,10,"H1N1"
2015-12-01,4,"H1N1"
2016-01-01,19,"H1N1"
2016-02-01,34,"H1N1"
2016-03-01,20,"H1N1"
2016-04-01,1,"H1N1"
2016-11-01,4,"H1N1"
2016-12-01,4,"H1N1"
2017-01-01,7,"H1N1"
2017-02-01,6,"H1N1"
2017-12-01,27,"H1N1"
2018-01-01,38,"H1N1"
2018-02-01,43,"H1N1"
2018-03-01,12,"H1N1"
2018-11-01,3,"H1N1"
2018-12-01,6,"H1N1"
2019-01-01,41,"H1N1"
2019-02-01,63,"H1N1"
2019-03-01,10,"H1N1"
2019-07-01,1,"H1N1"
2019-08-01,1,"H1N1"
2019-11-01,4,"H1N1"
2019-12-01,14,"H1N1"
2020-01-01,10,"H1N1"
2020-02-01,2,"H1N1"
2011-02-01,1,"H3N2"
2011-12-01,3,"H3N2"
2012-01-01,16,"H3N2"
2012-02-01,44,"H3N2"
2012-03-01,35,"H3N2"
2012-07-01,1,"H3N2"
2012-11-01,2,"H3N2"
2012-12-01,8,"H3N2"
2013-01-01,11,"H3N2"
2013-02-01,9,"H3N2"
2013-03-01,6,"H3N2"
2013-04-01,1,"H3N2"
2013-12-01,1,"H3N2"
2014-01-01,17,"H3N2"
2014-02-01,20,"H3N2"
2014-03-01,28,"H3N2"
2014-04-01,6,"H3N2"
2014-06-01,1,"H3N2"
2014-08-01,1,"H3N2"
2014-10-01,1,"H3N2"
2014-12-01,16,"H3N2"
2015-01-01,44,"H3N2"
2015-02-01,29,"H3N2"
2015-03-01,8,"H3N2"
2015-11-01,7,"H3N2"
2015-12-01,14,"H3N2"
2016-01-01,7,"H3N2"
2016-02-01,14,"H3N2"
2016-03-01,2,"H3N2"
2016-04-01,2,"H3N2"
2016-10-01,1,"H3N2"
2016-11-01,10,"H3N2"
2016-12-01,68,"H3N2"
2017-01-01,96,"H3N2"
2017-02-01,24,"H3N2"
2017-03-01,2,"H3N2"
2017-08-01,1,"H3N2"
2017-11-01,4,"H3N2"
2017-12-01,14,"H3N2"
2018-01-01,12,"H3N2"
2018-02-01,9,"H3N2"
2018-03-01,1,"H3N2"
2018-11-01,8,"H3N2"
2018-12-01,12,"H3N2"
2019-01-01,34,"H3N2"
2019-02-01,26,"H3N2"
2019-03-01,23,"H3N2"
2019-04-01,1,"H3N2"
2019-11-01,2,"H3N2"
2019-12-01,41,"H3N2"
2020-01-01,48,"H3N2"
2020-02-01,18,"H3N2"
2020-03-01,7,"H3N2"
