"month","H1N","H3N"
2014.75,NA,NA
2014.83333333333,NA,NA
2014.91666666667,37420,350007
2015,336136,2456565
2015.08333333333,937703,3619547
2015.16666666667,505264,1128579
2015.25,NA,NA
2015.33333333333,NA,NA
2015.41666666667,NA,NA
2015.5,NA,NA
2015.58333333333,NA,NA
2015.66666666667,NA,NA
2015.75,NA,NA
2015.83333333333,165117,42168
2015.91666666667,364621,139278
2016,955499,107814
2016.08333333333,2044495,65361
2016.16666666667,945259,57427
2016.25,NA,NA
2016.33333333333,NA,NA
2016.41666666667,NA,NA
2016.5,NA,NA
2016.58333333333,NA,NA
2016.66666666667,NA,NA
2016.75,NA,NA
2016.83333333333,0,147493
2016.91666666667,0,963742
2017,38782,3738512
2017.08333333333,16296,2834273
2017.16666666667,0,358250
2017.25,41891,88267
2017.33333333333,NA,NA
2017.41666666667,NA,NA
2017.5,NA,NA
2017.58333333333,NA,NA
2017.66666666667,NA,NA
2017.75,NA,NA
2017.83333333333,54601,29641
2017.91666666667,233258,55627
2018,604332,89026
2018.08333333333,1267512,189736
2018.16666666667,1369751,148578
2018.25,NA,NA
2018.33333333333,NA,NA
2018.41666666667,NA,NA
2018.5,NA,NA
2018.58333333333,NA,NA
2018.66666666667,NA,NA
2018.75,NA,NA
2018.83333333333,36245,67365
2018.91666666667,90577,64880
2019,863407,568284
2019.08333333333,1688769,1434690
2019.16666666667,687879,1211260
2019.25,241509,477434
2019.33333333333,NA,NA
2019.41666666667,NA,NA
2019.5,NA,NA
2019.58333333333,NA,NA
2019.66666666667,NA,NA
