"month","mean","lower","upper","H3N"
2014.75,3e-04,0,8e-04,3e-04
2014.83333333333,0.0054,0,0.0157,0.003
2014.91666666667,0.039,0,0.1049,0.0234
2015,0.275,0,0.6821225,0.2293
2015.08333333333,0.50055,0,1.11638,0.6435
2015.16666666667,0.15095,0,0.3651125,0.2637
2015.25,0.0214,0,0.0551025,0.0271
2015.33333333333,0.0022,1e-04,0.0052,0.0041
2015.41666666667,2e-04,0,6e-04,NA
2015.5,1e-04,0,1e-04,NA
2015.58333333333,0,0,1e-04,NA
2015.66666666667,1e-04,0,3e-04,2e-04
2015.75,6e-04,0,0.0018,3e-04
2015.83333333333,0.0026,0,0.0082,0.0028
2015.91666666667,0.0115,0,0.0345049999999999,0.0223
2016,0.0929,0,0.25891,0.0057
2016.08333333333,0.38685,0,0.9061125,0.0154
2016.16666666667,0.25035,0,0.57761,0.0098
2016.25,0.0535,0,0.1279,0.0045
2016.33333333333,0.0064,5e-04,0.0137,0.0014
2016.41666666667,8e-04,1e-04,0.0018,NA
2016.5,2e-04,0,5e-04,NA
2016.58333333333,2e-04,0,4e-04,NA
2016.66666666667,9e-04,1e-04,0.0022,NA
2016.75,0.0141,0,0.0414,0.008
2016.83333333333,0.0828,0,0.2363025,0.0697
2016.91666666667,0.246,0,0.61991,0.6032
2017,0.5817,0,1.3342275,0.7932
2017.08333333333,0.4259,0,1.011435,0.2547
2017.16666666667,0.10475,0,0.2490075,0.0883
2017.25,0.0179,0,0.0423,0.0121
2017.33333333333,0.0021,2e-04,0.0046,0.0024
2017.41666666667,3e-04,0,6e-04,NA
2017.5,1e-04,0,2e-04,NA
2017.58333333333,1e-04,0,1e-04,NA
2017.66666666667,2e-04,0,5e-04,NA
2017.75,0.0023,0,0.0063,0.0032
2017.83333333333,0.0113,0,0.0318049999999999,0.0104
2017.91666666667,0.0369,0,0.0993,0.0565
2018,0.1728,0,0.4399175,0.3276
2018.08333333333,0.36535,0,0.836805,0.4063
2018.16666666667,0.1626,0,0.3720025,0.2785
2018.25,0.026,0,0.0637025,0.0736
2018.33333333333,0.0027,1e-04,0.0063,0.0012
2018.41666666667,3e-04,0,7e-04,NA
2018.5,1e-04,0,2e-04,NA
2018.58333333333,1e-04,0,1e-04,NA
2018.66666666667,1e-04,0,4e-04,NA
2018.75,9e-04,0,0.0028,0.0019
2018.83333333333,0.0034,0,0.0113,0.0032
2018.91666666667,0.0104,0,0.0343025,0.0114
2019,0.0556,0,0.1651,0.0796
2019.08333333333,0.1747,0,0.442615,0.2633
2019.16666666667,0.13075,0,0.2964,0.1301
2019.25,0.0293,0,0.067,0.0445
2019.33333333333,0.0033,2e-04,0.0069,0.0035
2019.41666666667,4e-04,0,8e-04,NA
2019.5,1e-04,0,2e-04,NA
2019.58333333333,1e-04,0,2e-04,NA
2019.66666666667,2e-04,0,6e-04,2e-04
