month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2020.H1N.lower,Pre.2020.H1N.mean,Pre.2020.H1N.upper,Pre.2020.H3N.lower,Pre.2020.H3N.mean,Pre.2020.H3N.upper
2012.75,19294,613348,0,3.36E-05,0.00033,5.6E-06,0.0008874,0.0182132,,,,,,
2012.833333,46758,2930603,0,0.0005427,0.0043991,0,0.0363162,0.3595317,,,,,,
2012.916667,401195,19018474,0.0001451,0.0050611,0.0460306,0,0.2999251,2.5530257,,,,,,
2013,575671,12287850,0,0.0279074,0.2234824,0,0.8028846,3.4269052,,,,,,
2013.083333,397031,3577560,0,0.0674641,0.562235,0,0.6351553,2.3085638,,,,,,
2013.166667,288598,1239964,0,0.072896,0.6034704,0,0.2082032,0.8507291,,,,,,
2013.25,139426,279410,0,0.0397058,0.2822334,0,0.058566,0.2362955,,,,,,
2013.333333,73252,125309,0.0021033,0.0176421,0.0917327,0.0039828,0.0205617,0.0752778,,,,,,
2013.416667,188888,94697,0.0013383,0.0091407,0.0450598,0.0016673,0.0098081,0.0328418,,,,,,
2013.5,140396,105842,0.0010336,0.0077097,0.0324862,0.0013271,0.0071307,0.0251002,,,,,,
2013.583333,228508,47925,0.0014008,0.0101324,0.0564774,0.0011603,0.0061328,0.0218185,,,,,,
2013.666667,473945,90811,0.0025995,0.0201663,0.1217889,0.0011183,0.0065721,0.0274864,,,,,,
2013.75,433523,142016,7.52E-05,0.057484,0.4912694,0,0.0074837,0.0455754,,,,,,
2013.833333,1696097,128305,0,0.2005717,1.5060527,0,0.0101452,0.0702914,,,,,,
2013.916667,13433786,318228,0,0.5861383,3.2367487,0,0.0155242,0.1580608,,,,,,
2014,9856739,398192,0,0.9578097,3.8315254,0,0.0255511,0.2816313,,,,,,
2014.083333,3750209,384973,0,0.4837983,2.2547472,0,0.0385897,0.3471427,,,,,,
2014.166667,1205988,833531,0,0.1390774,0.8224007,0,0.0310474,0.3040674,,,,,,
2014.25,159730,922727,0,0.0337057,0.2129,0,0.0151891,0.1296303,,,,,,
2014.333333,32666,655303,0.001072,0.0091013,0.0565114,0.0005321,0.0068102,0.0437453,,,,,,
2014.416667,14449,498793,0.0005204,0.0039871,0.0232336,0.0003011,0.0035515,0.0204309,,,,,,
2014.5,8278,260292,0.000349,0.0026075,0.0156371,0.0003265,0.0029061,0.0175467,,,,,,
2014.583333,22259,258399,0.0003267,0.0024039,0.0154342,0.0003263,0.0038596,0.0308646,,,,,,
2014.666667,8019,308177,0.0003553,0.0028184,0.0235799,0.0006772,0.0091558,0.0730733,,,,,,
2014.75,14646,646989,0,0.0040127,0.0492721,0,0.0321565,0.3721548,,,,,,
2014.833333,30859,5050796,0,0.0069441,0.1036135,0,0.1579289,1.2993949,,,,,,
2014.916667,27316,18427374,0,0.0130146,0.2517264,0,0.6268245,3.2530936,,,,,,
2015,23029,11623671,0,0.0259863,0.4325465,0,1.0214962,4.1013668,,,,,,
2015.083333,29972,4716538,0,0.0300418,0.4463083,0,0.4997597,2.6838127,,,,,,
2015.166667,16651,1359466,0,0.0177842,0.2336235,0,0.1453484,0.8151366,,,,,,
2015.25,20516,174239,0,0.0061939,0.0645099,0,0.0358871,0.2107247,,,,,,
2015.333333,5180,92289,0.0001438,0.0021419,0.0171699,0.0018188,0.0105352,0.0494691,,,,,,
2015.416667,3696,150990,5.32E-05,0.0008728,0.0087086,0.0008605,0.0044605,0.021846,,,,,,
2015.5,5687,108361,4.61E-05,0.0005284,0.0050373,0.000505,0.0029387,0.015108,,,,,,
2015.583333,10372,189969,4.39E-05,0.0006213,0.0069516,0.0005091,0.0028129,0.0158529,,,,,,
2015.666667,7511,196769,0.0001018,0.0011754,0.0104932,0.0006229,0.0032562,0.0224675,,,,,,
2015.75,23751,144709,0,0.0034404,0.0375092,0,0.0052389,0.0447479,,,,,,
2015.833333,96241,199547,0,0.0149178,0.177862,0,0.00963,0.1190205,,,,,,
2015.916667,369296,178459,0,0.068948,0.6771462,0,0.0240137,0.3261865,,,,,,
2016,1451788,414274,0,0.2660788,1.6803097,0,0.05463,0.5471594,,,,,,
2016.083333,5231811,935818,0,0.3113848,1.3981436,0,0.0672142,0.5003873,,,,,,
2016.166667,5801116,951167,0,0.1332263,0.6087298,0,0.0501393,0.3113737,,,,,,
2016.25,1735666,631880,0,0.0351848,0.1801623,0,0.0300576,0.1674307,,,,,,
2016.333333,342351,472392,0.0017295,0.009206,0.0320461,0.0017604,0.0158399,0.074195,,,,,,
2016.416667,38673,131596,0.0005761,0.0033533,0.0117079,0.0012892,0.0091588,0.0433611,,,,,,
2016.5,5574,84513,0.0004293,0.002026,0.0073526,0.0011796,0.0083551,0.0413537,,,,,,
