"","month","H1N","H3N"
"1",2012.75,5.915e-05,0.00031415
"2",2012.83333333333,0.00110885,0.0108993
"3",2012.91666666667,0.0160966,0.1107205
"4",2013,0.1037456,0.37885425
"5",2013.08333333333,0.19325425,0.3806437
"6",2013.16666666667,0.14571175,0.15140135
"7",2013.25,0.06619185,0.04645045
"8",2013.33333333333,0.02583055,0.0155835
"9",2013.41666666667,0.0133506,0.00689915
"10",2013.5,0.01063835,0.0043221
"11",2013.58333333333,0.01310225,0.00338805
"12",2013.66666666667,0.02459185,0.00371995
"13",2013.75,0.06807135,0.00542385
"14",2013.83333333333,0.2786095,0.01178505
"15",2013.91666666667,0.95921355,0.03168775
"16",2014,1.17986585,0.07814055
"17",2014.08333333333,0.5557575,0.1289928
"18",2014.16666666667,0.15474545,0.0971448
"19",2014.25,0.03461955,0.0450342
"20",2014.33333333333,0.00972685,0.0173802
"21",2014.41666666667,0.00377485,0.00818265
"22",2014.5,0.00202205,0.00616895
"23",2014.58333333333,0.0016706,0.00707625
"24",2014.66666666667,0.00185235,0.01362725
"25",2014.75,0.00307745,0.039525
"26",2014.83333333333,0.00853535,0.1573117
"27",2014.91666666667,0.0253408,0.53974275
"28",2015,0.05122475,0.7732121
"29",2015.08333333333,0.05582045,0.38013765
"30",2015.16666666667,0.0273844,0.10953515
"31",2015.25,0.0085694,0.0247186
"32",2015.33333333333,0.00273985,0.0069084
"33",2015.41666666667,0.00107985,0.0024902
"34",2015.5,0.00067845,0.0013754
"35",2015.58333333333,0.00075385,0.0010545
"36",2015.66666666667,0.00136285,0.00115885
"37",2015.75,0.00425885,0.00176955
"38",2015.83333333333,0.0211391,0.0043946
"39",2015.91666666667,0.1081158,0.0128345
"40",2016,0.32579085,0.02557915
"41",2016.08333333333,0.30034365,0.02841045
"42",2016.16666666667,0.1174145,0.01520855
"43",2016.25,0.03036865,0.0051476
"44",2016.33333333333,0.00875365,0.00225195
"45",2016.41666666667,0.00315515,0.0010701
"46",2016.5,0.0017669,0.0008023
"47",2016.58333333333,0.00164365,0.000913
"48",2016.66666666667,0.00237205,0.00188265
"49",2016.75,0.0054506,0.00605595
"50",2016.83333333333,0.0213145,0.0288165
"51",2016.91666666667,0.08762625,0.13445815
"52",2017,0.2129353,0.31731925
"53",2017.08333333333,0.212697,0.27041305
"54",2017.16666666667,0.0831556,0.11274225
"55",2017.25,0.0247585,0.0327305
"56",2017.33333333333,0.00794225,0.0108537
"57",2017.41666666667,0.00325195,0.00438785
"58",2017.5,0.00210545,0.00284
"59",2017.58333333333,0.00234885,0.00288705
"60",2017.66666666667,0.0039798,0.00453335
"61",2017.75,0.0107071,0.010874
"62",2017.83333333333,0.04667215,0.04062575
"63",2017.91666666667,0.18464495,0.1451254
"64",2018,0.44267575,0.3049841
"65",2018.08333333333,0.4409277,0.2586261
"66",2018.16666666667,0.21012225,0.11394525
"67",2018.25,0.06141535,0.03378775
"68",2018.33333333333,0.0224196,0.0107905
"69",2018.41666666667,0.0107522,0.00429945
"70",2018.5,0.007653,0.00263365
"71",2018.58333333333,0.009274,0.00228225
"72",2018.66666666667,0.0179382,0.0032174
"73",2018.75,0.05047985,0.00642775
"74",2018.83333333333,0.20097155,0.01933315
"75",2018.91666666667,0.65336935,0.0632943
"76",2019,0.9050513,0.18301115
"77",2019.08333333333,0.5355446,0.26698865
"78",2019.16666666667,0.1810095,0.1961956
"79",2019.25,0.05324925,0.0840411
"80",2019.33333333333,0.01864165,0.0373456
"81",2019.41666666667,0.0079954,0.0174683
"82",2019.5,0.0052576,0.0119931
"83",2019.58333333333,0.00514215,0.01201145
"84",2019.66666666667,0.007713,0.01546125
