"","month","H1N","H3N"
"1",2012.75,0.00013225,0.00016725
"2",2012.83333333333,0.00403365,0.00413295
"3",2012.91666666667,0.07348625,0.03797635
"4",2013,0.45661315,0.12567795
"5",2013.08333333333,0.71589685,0.1318533
"6",2013.16666666667,0.3639632,0.06856095
"7",2013.25,0.12504735,0.02422025
"8",2013.33333333333,0.04877105,0.00943815
"9",2013.41666666667,0.02388115,0.00465515
"10",2013.5,0.0169995,0.00319175
"11",2013.58333333333,0.0196584,0.00311655
"12",2013.66666666667,0.0346885,0.00457895
"13",2013.75,0.0916837,0.0094525
"14",2013.83333333333,0.3409143,0.02951815
"15",2013.91666666667,0.93662535,0.10200575
"16",2014,1.0960992,0.2267936
"17",2014.08333333333,0.4842906,0.28101385
"18",2014.16666666667,0.1376403,0.14015395
"19",2014.25,0.03192875,0.0507628
"20",2014.33333333333,0.00938595,0.0176507
"21",2014.41666666667,0.0036877,0.0083272
"22",2014.5,0.00209095,0.00603395
"23",2014.58333333333,0.00175135,0.0073073
"24",2014.66666666667,0.00209765,0.01418565
"25",2014.75,0.0036903,0.04366095
"26",2014.83333333333,0.011697,0.21837865
"27",2014.91666666667,0.037845,0.72943575
"28",2015,0.0898462,0.9449169
"29",2015.08333333333,0.1084581,0.43593815
"30",2015.16666666667,0.05920725,0.10390215
"31",2015.25,0.01757445,0.0246257
"32",2015.33333333333,0.0057942,0.0067131
"33",2015.41666666667,0.00230905,0.00235995
"34",2015.5,0.00146845,0.0012242
"35",2015.58333333333,0.00167455,0.00100945
"36",2015.66666666667,0.0033226,0.0011183
"37",2015.75,0.00966195,0.00189085
"38",2015.83333333333,0.05333865,0.00478395
"39",2015.91666666667,0.26173505,0.01365955
"40",2016,0.5725763,0.0319995
"41",2016.08333333333,0.3422228,0.02863425
"42",2016.16666666667,0.11479205,0.01720525
"43",2016.25,0.02494,0.00582235
"44",2016.33333333333,0.00693175,0.0022933
"45",2016.41666666667,0.0025134,0.0011358
"46",2016.5,0.00134465,0.0008742
"47",2016.58333333333,0.0011072,0.0011759
"48",2016.66666666667,0.00158045,0.00268035
"49",2016.75,0.00322165,0.00927015
"50",2016.83333333333,0.01237405,0.05037825
"51",2016.91666666667,0.04816875,0.2299817
"52",2017,0.1303447,0.514796
"53",2017.08333333333,0.15273485,0.37674385
"54",2017.16666666667,0.07174725,0.130013
"55",2017.25,0.0230282,0.0358899
"56",2017.33333333333,0.00798295,0.01116855
"57",2017.41666666667,0.0035356,0.0045118
"58",2017.5,0.0023626,0.0027936
"59",2017.58333333333,0.00284175,0.00277845
"60",2017.66666666667,0.0060579,0.0044551
"61",2017.75,0.0179952,0.0108348
"62",2017.83333333333,0.0775807,0.04211445
"63",2017.91666666667,0.3523566,0.1597801
"64",2018,0.7718214,0.33595255
"65",2018.08333333333,0.6200368,0.2645074
"66",2018.16666666667,0.23285935,0.10344275
"67",2018.25,0.0744751,0.03186475
"68",2018.33333333333,0.02673755,0.0101197
"69",2018.41666666667,0.0127427,0.00394965
"70",2018.5,0.0098095,0.0024806
"71",2018.58333333333,0.01247895,0.0022753
"72",2018.66666666667,0.0260427,0.00351415
"73",2018.75,0.0755723,0.00764115
"74",2018.83333333333,0.30625945,0.0256906
"75",2018.91666666667,0.92182955,0.08692655
"76",2019,1.10331765,0.22921835
"77",2019.08333333333,0.5682047,0.29744845
"78",2019.16666666667,0.1807737,0.1998873
"79",2019.25,0.0569577,0.0799493
"80",2019.33333333333,0.02005035,0.033039
"81",2019.41666666667,0.0090838,0.0164314
"82",2019.5,0.0060035,0.0119256
"83",2019.58333333333,0.00607025,0.01245975
"84",2019.66666666667,0.0094796,0.0163509
