"","month","H1N","H3N"
"1",2012.75,0.00012915,0.00030725
"2",2012.83333333333,0.00452745,0.01076915
"3",2012.91666666667,0.0702429,0.112389
"4",2013,0.42070185,0.35215485
"5",2013.08333333333,0.74729245,0.37339805
"6",2013.16666666667,0.418872,0.1705776
"7",2013.25,0.15577415,0.0544894
"8",2013.33333333333,0.0602073,0.019842
"9",2013.41666666667,0.03077545,0.00913305
"10",2013.5,0.0235162,0.0054804
"11",2013.58333333333,0.0298838,0.00504655
"12",2013.66666666667,0.06406145,0.00685575
"13",2013.75,0.17229455,0.0121702
"14",2013.83333333333,0.70366925,0.03725255
"15",2013.91666666667,1.4110895,0.1216009
"16",2014,1.05730665,0.34561815
"17",2014.08333333333,0.32908165,0.4538725
"18",2014.16666666667,0.07628555,0.2137279
"19",2014.25,0.01724805,0.06119955
"20",2014.33333333333,0.0048945,0.0202559
"21",2014.41666666667,0.0017922,0.0084718
"22",2014.5,0.001028,0.0051832
"23",2014.58333333333,0.00087945,0.00540415
"24",2014.66666666667,0.0011635,0.0089386
"25",2014.75,0.0021373,0.0236563
"26",2014.83333333333,0.00702825,0.09962425
"27",2014.91666666667,0.0250224,0.4066572
"28",2015,0.0608184,0.604087
"29",2015.08333333333,0.0638962,0.32568175
"30",2015.16666666667,0.03346175,0.09521015
"31",2015.25,0.0098667,0.02247505
"32",2015.33333333333,0.0032215,0.0062845
"33",2015.41666666667,0.00119155,0.0022143
"34",2015.5,0.0007683,0.0011694
"35",2015.58333333333,0.0008074,0.00096705
"36",2015.66666666667,0.00156555,0.00113985
"37",2015.75,0.00488245,0.00202225
"38",2015.83333333333,0.026435,0.0056425
"39",2015.91666666667,0.1510254,0.0172242
"40",2016,0.37060865,0.03503605
"41",2016.08333333333,0.3210508,0.0392486
"42",2016.16666666667,0.11751315,0.0216524
"43",2016.25,0.0275424,0.0078081
"44",2016.33333333333,0.00801895,0.00318925
"45",2016.41666666667,0.00285455,0.00159705
"46",2016.5,0.0015138,0.0011697
"47",2016.58333333333,0.0013683,0.0014836
"48",2016.66666666667,0.0019899,0.0032378
"49",2016.75,0.00450855,0.01004525
"50",2016.83333333333,0.0166278,0.053487
"51",2016.91666666667,0.07022565,0.23212055
"52",2017,0.17066515,0.5029475
"53",2017.08333333333,0.1886021,0.37497765
"54",2017.16666666667,0.0866167,0.13693855
"55",2017.25,0.0264998,0.03902895
"56",2017.33333333333,0.00889215,0.01179205
"57",2017.41666666667,0.00384975,0.0049601
"58",2017.5,0.0026884,0.0030324
"59",2017.58333333333,0.00325605,0.0030878
"60",2017.66666666667,0.00629405,0.00487035
"61",2017.75,0.01924685,0.01246515
"62",2017.83333333333,0.08263035,0.046252
"63",2017.91666666667,0.3611565,0.1643093
"64",2018,0.75291355,0.36966215
"65",2018.08333333333,0.60540215,0.3291328
"66",2018.16666666667,0.24398815,0.1330859
"67",2018.25,0.0785902,0.0420012
"68",2018.33333333333,0.0275189,0.01330205
"69",2018.41666666667,0.01338785,0.00525715
"70",2018.5,0.01023505,0.00327955
"71",2018.58333333333,0.01373245,0.0031931
"72",2018.66666666667,0.03036705,0.00466995
"73",2018.75,0.0932291,0.0102251
"74",2018.83333333333,0.340043,0.03552505
"75",2018.91666666667,1.02289655,0.12790545
"76",2019,1.1693727,0.43065595
"77",2019.08333333333,0.60366275,0.6433283
"78",2019.16666666667,0.18447175,0.4205431
"79",2019.25,0.0634734,0.1600186
"80",2019.33333333333,0.0224313,0.06192555
"81",2019.41666666667,0.01089865,0.02825095
"82",2019.5,0.00752715,0.01925285
"83",2019.58333333333,0.008737,0.0186218
"84",2019.66666666667,0.01647685,0.0238437
