sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.098603895,4.556976149,3.750429371,2.949994838,3.445059894,3.822633126,4.828725329,2.676777815,0.868362633,0.177276331,54.64729743,83.93525407,2.401974762,3.318193556,0.355932203,0.975421337,0.215778162,0.01167133,2.781255106,0.934416232,0.149678102,8.72E-08,8.34E-08,0.118387996,0.395160905,0.167656871,0.096407476,9.42E-08,8.89E-08,0.072708297,0.398318306,0.367864945,0.351155243,-2315.760972,0.645023146
0.087983874,4.644592468,3.03793553,2.673849628,2.559398024,3.962715297,3.975942715,0.791455056,0.862930023,0.128367741,112.4963766,37.50795153,9.694738346,9.357845454,0.711864407,1.169484043,0.384632656,0.026057884,14.67674219,1.848073404,0.153158461,7.83E-08,1.03E-07,0.082960816,0.456122441,0.120060515,0.113035889,4.04E-08,8.07E-08,0.074661575,0.407706193,0.34795996,0.344988724,-2316.731568,0.797206679
0.068924937,4.927650656,3.832448575,2.982161433,3.653849958,3.980079589,4.538360868,9.262881031,0.881675193,0.126602989,61.19249833,20.0256224,2.126298977,1.493669372,0.457627119,0.720069769,0.288830685,0.017165283,62.45263606,0.648579518,0.163587051,8.20E-08,1.07E-07,0.131525233,0.338747757,0.195264681,0.125380774,8.63E-08,7.05E-08,0.045494157,0.386962189,0.386725484,0.347036074,-2320.100065,0.777519036
0.079208707,5.059504762,3.7327243,2.759340716,3.22533003,4.09704078,4.159706196,0.567886454,0.861698542,0.146287933,32.13775933,47.93582417,10.92202538,15.9880523,0.101694915,0.818949675,0.314284938,0.033047007,6.3163555,1.63299784,0.097430744,8.21E-08,6.56E-08,0.175032827,0.416912201,0.124812463,0.136829347,8.09E-08,7.91E-08,0.048982111,0.39251359,0.404882249,0.395423453,-2320.264492,1.231370048
0.094722878,5.248584473,2.697454457,2.619834164,2.514299937,3.431553465,3.789445911,0.519133473,0.812158034,0.138703854,19.94752174,38.13966639,13.59127803,20.4677807,0.203389831,1.12126908,0.458079325,0.028300503,25.36328906,1.780288008,0.171015006,9.66E-08,6.77E-08,0.068859307,0.371592163,0.148834579,0.146288846,4.77E-08,1.14E-07,0.093409772,0.330904367,0.463510334,0.327659747,-2320.282574,0.765692049
0.09287913,4.852112492,2.795978205,3.145806742,2.656195869,3.81679619,4.359742508,10.8939496,0.885437592,0.1128854,43.57693592,42.65922314,1.624142918,1.826611363,0.711864407,0.986054685,0.438963579,0.05418637,3.784635528,34.11652677,0.179149981,6.07E-08,5.37E-08,0.070102458,0.388109947,0.186338995,0.095986727,6.41E-08,6.33E-08,0.08031165,0.399906508,0.371490784,0.428566195,-2322.55673,5.070512178
0.072027187,4.639030595,4.065859865,2.905928381,3.65703388,3.680120101,4.626256461,0.368447014,0.862065792,0.179327574,7.924615894,161.6717798,15.98045471,53.28860425,0.711864407,0.9135221,0.201465488,0.006616578,1.459463915,1.516483093,0.086905333,1.44E-07,5.90E-08,0.143940292,0.425305225,0.139531975,0.124154634,1.16E-07,9.14E-08,0.08016213,0.368642352,0.478708372,0.326038751,-2322.837055,0.59549699
0.057923684,5.085889186,4.120926288,3.347119515,4.118589967,4.053478474,4.846652208,0.516057443,0.890703635,0.143172858,10.29772398,47.83962648,8.317133246,17.26592715,0.508474576,0.738032114,0.208347769,0.015052433,8.527613835,5.13591017,0.127433332,1.21E-07,9.14E-08,0.123712894,0.386462835,0.17623567,0.124402155,8.14E-08,1.24E-07,0.061752696,0.403366762,0.478991525,0.248459789,-2324.015819,1.021636621
0.075680609,4.794353361,3.633965346,2.441006735,3.695343006,3.422313879,4.302177166,2.423435803,0.84188467,0.122097537,38.11628854,51.59866139,2.74017079,3.170304599,0.559322034,0.931172412,0.315098465,0.02330663,16.65260443,1.865247052,0.229386995,4.06E-08,4.86E-08,0.122967108,0.367591765,0.114510636,0.123037353,4.22E-08,8.24E-08,0.042505928,0.279697506,0.538603094,0.313050704,-2324.239679,1.045666671
0.106288702,5.633886954,4.344966432,2.971330946,3.883650939,4.443647746,4.453908148,1.362170344,0.852096617,0.147985734,4.027257267,61.14556184,1.515217036,5.162542522,0,0.461084021,0.321480075,0.016736311,6.204565924,0.548125942,0.211760855,7.15E-08,5.84E-08,0.112189893,0.347071261,0.16323414,0.121188945,8.99E-08,5.09E-08,0.044554636,0.361570228,0.465875965,0.358467,-2324.34398,0.371563375
0.106381616,4.993611355,2.904096127,2.801003318,2.74313568,3.88417198,4.289511809,1.377448091,0.865160706,0.127267874,45.37041877,112.6671944,3.70801297,5.626801363,0.254237288,0.762491254,0.476589782,0.02612236,6.638621006,4.003559437,0.092720823,7.02E-08,7.65E-08,0.139734713,0.35593388,0.171008746,0.179389454,8.60E-08,7.86E-08,0.061212073,0.420429385,0.409075698,0.380461853,-2325.543312,1.036961238
0.112431359,4.845108179,3.145311788,2.907928484,2.558143958,3.920691814,4.325703132,1.023975464,0.857247775,0.138488619,32.32652974,51.18318908,5.201463069,6.618580474,0.355932203,0.671356056,0.401373249,0.016622361,13.20847983,1.769259893,0.141769105,8.86E-08,7.80E-08,0.107559633,0.444662018,0.123363484,0.129369545,8.70E-08,1.10E-07,0.053275851,0.318989361,0.370890588,0.39079505,-2325.664168,0.315734116
0.086411662,5.221884598,3.459153698,3.216401636,3.580384187,4.272875905,4.08263807,0.527289815,0.880853945,0.205474952,24.43450561,46.48057524,11.08103689,16.60531225,2.745762712,1.439847398,0.180744111,0.00344305,0.093149479,0.247995937,0.135395156,7.72E-08,8.40E-08,0.097363219,0.37499576,0.138874363,0.183812359,8.46E-08,7.40E-08,0.069558822,0.389124609,0.469506925,0.307898167,-2326.219951,0.325602088
