sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.039322049769179,5.91406378448351,5.33397959618318,5.45368004794332,5.86265544001614,5.8945002839016,6.06696501262846,3.10520473579521,0.992995751398934,8.09762379869796,4.10854095048047,3.27533461112101,2.58608083890164,0.079248410870184,0.81442916366288,0.15821854453322,0.268218601223609,0.035565223504863,0.094985257914406,3.60794566649891E-08,4.87619696470561E-08,0.281604477691871,0.229311702770549,0.117870008141238,0.167285223182893,7.05851636886077E-08,6.74433220355305E-08,0.108943107429131,0.758877341375602,0.50627718704627,0.447909948014072,-2337.21589150315,0.285226100327972
0.04793500748823,4.96590170855291,4.38204347011709,4.19735356733414,4.67322596304282,4.59789986749511,5.04595631439747,0.628749395338115,0.931083186022873,4.57798101656288,11.663297534793,7.95360352509902,6.37518884141636,0.427301465855013,2.49742126496292,0.264066340039902,4.48851100948374,0.063798830036328,0.071348034349142,8.68032147874729E-08,8.44045096684005E-08,0.227968451420408,0.116081086700701,0.199562260062193,0.220558257748737,6.66772200089939E-08,5.65710952248343E-08,0.164481615262779,0.452679734842887,0.544222045552276,0.3098465935142,-2339.61082831548,0.22510701101107
0.05189026734619,6.00443057859354,5.50782098652358,5.36835036646061,5.9781724357564,6.08252005653213,6.3081860714307,5.57050502460617,0.995210963633282,6.909378206513,6.05698610535389,3.29583623108141,2.89643129142289,0.274788079218479,0.612808800605524,0.135601190536787,0.317823960771989,0.157293326999621,0.104302800202398,5.08258844618412E-08,5.00888792450043E-08,0.288917334637883,0.206653532629945,0.117911376385592,0.173770168882703,8.68606742181596E-08,6.7310118785554E-08,0.108444532175922,0.84493587973013,0.373415997149713,0.383748395311579,-2340.29618823262,1.65596968584197
0.053481009417652,5.04648808026068,4.8810541606728,4.56558420359835,5.20496817670214,4.99672929208542,5.63953666315763,3.24671336531717,0.960856798099844,5.44768271367713,12.8812029302263,2.54720788044628,2.72138376685227,0.058455841449284,0.425378689663999,0.272846694602247,1.15369638094256,0.043189776706795,0.06271896133063,7.58923912219345E-08,7.71583726471984E-08,0.299448619987665,0.187225398096034,0.073028703630978,0.270086262422313,1.19465109872142E-07,7.68717831065644E-08,0.107491705144723,0.645030767955155,0.434199536875666,0.280455878873729,-2341.07631585943,1.05889684389912
0.042427369067483,5.21198060660481,4.76381936986633,4.72137556813131,5.14211658467361,5.14193003857517,5.53590390143444,5.01811210330546,0.986144449685436,12.0833630960236,12.2163951551445,2.67942629440707,2.57232409309745,0.356249341129162,0.983989640086888,0.288781054843135,0.140391719559254,0.07389054910797,0.218197571796447,6.58669177538971E-08,6.73276041535906E-08,0.083251965386708,0.32817533163087,0.058178975656953,0.139994454118552,3.55228927927298E-08,6.57190796138736E-08,0.172201466973976,0.65452680185897,0.464041640998654,0.294111751692661,-2341.22993490093,0.348799140049547
0.059429871194361,5.00058041904493,4.01651817300613,4.43669215945174,4.1929936710473,4.79714374931843,4.67790276512304,3.32375249935101,0.932191679311452,114.372236197795,22.6000402756421,3.78839404101409,2.81708698719722,0.210906866553365,1.19266482120038,0.408349326415059,1.94279472454112,0.57232288337551,0.138015004027642,4.92033744511239E-08,4.98128695057476E-08,0.143441814845261,0.268688525434576,0.170963851547722,0.151871738488043,4.691817754615E-08,3.97704502898594E-08,0.127018879951885,0.496511132854553,0.550099219598361,0.320392879051053,-2341.42880106819,2.27658663125198
0.042632489222424,5.38393984253658,4.67540387569426,4.92875761555622,5.40562547658638,5.17730019232089,5.76657252232335,4.14263630519925,0.989476507017958,43.111059064648,46.8492118365398,3.41279201828536,3.87251681486254,1.42981393141137,2.88334809787516,0.251770031688962,0.053598789055183,0.063847932249059,0.05871083205447,7.1180917347103E-08,4.89916348227071E-08,0.130840947910649,0.340120303758555,0.11395732661279,0.215689802507748,6.30087086117157E-08,4.56817907698556E-08,0.140680558292737,0.819245585498669,0.612946649003727,0.269058797423186,-2342.41541351497,0.523814268722055
0.045015191782215,4.91822162862147,3.9537715188818,4.29239035741386,4.31580819631944,4.62367006625735,4.94941343173864,13.7493661832525,0.949660392243601,25.0607749935384,183.652721445934,3.00855116087493,3.29117251755195,0.749237012698286,1.44931601176157,0.355208056753774,0.461838344201911,0.477137984390238,0.172543011252057,6.40792231164723E-08,5.50097771364974E-08,0.147627609622407,0.11750439476677,0.124678060246378,0.171412544677302,5.96382670074127E-08,4.32577256246715E-08,0.266234157450093,0.693479661105315,0.442825980010188,0.398951355473667,-2342.43663828479,0.72586947965411
0.042661843506854,4.3631602528917,4.26743044915513,3.90325499596441,4.36519710451685,4.13893740769915,4.93046703813427,3.83702500792792,0.950201361282283,92.6871519249288,13.7121159423567,4.10333430128604,2.08488077669213,0.307465122731981,0.807102493056911,0.623220612450297,1.4561385314043,0.088512832741981,0.20802986509745,6.90936784065652E-08,7.22652470467519E-08,0.339781768609637,0.096753596784951,0.084473153936226,0.122496481101067,7.60417098090567E-08,8.98903172872039E-08,0.148464827179715,0.329312070171785,0.559783388309074,0.29351161729736,-2343.32528422224,1.15957275405262
0.049616997010851,5.22896904446843,4.73976417204278,4.80971681611451,5.22821561891931,5.16917210718797,5.76574172149715,2.65537741108562,0.971191669496485,4.39722241336589,38.1112109578256,2.92335496818016,4.06673544217875,0.526710430476004,1.26922546078073,0.229681682184744,0.284440761745673,0.176260198253293,0.081477895280904,7.15558593345946E-08,3.52078440897036E-08,0.256345749280336,0.323102410450381,0.109013274813749,0.153108297686563,7.03674083740638E-08,4.35005975642289E-08,0.076952151856358,0.949732452249176,0.490578794915111,0.33586100991683,-2343.64299675278,0.32723457007073
